rw,aspect,polarities
"ifunguro rya nimugoroba ritanga ibicuruzwa bitandukanye byiza, harimo ibyokurya byo mu nyanja byo mu nyanja na steak nini, hari n'uburyo butandukanye butari inyama.",nyanja,negative
"ifunguro rya nimugoroba ritanga ibicuruzwa bitandukanye bitari byiza, harimo ibyokurya bishya byo mu nyanja na steak nini, hari n'uburyo butandukanye butari inyama.",byo,negative
"ifunguro rya nimugoroba ritanga ibicuruzwa bitandukanye bitari byiza, harimo ibyokurya bishya byo mu nyanja na steak nini, hari n'uburyo butandukanye butari inyama.",ifunguro rya nimugoroba,negative
"ibintu byose ni ibintu bikomeye, uhereye ku serivisi nziza z'abakozi beza, kugeza ku kirere cyiza cyane.",serivisi,negative
"ibintu byose ni ibintu bikomeye, uhereye ku serivisi nziza ntabwo ari nziza, kugeza ku kirere cyiza cyane.",nziza,negative
"ibintu byose ni ibintu bikomeye, uhereye ku serivisi nziza z'abakozi beza, kugeza ku kirere kitari cyiza cyane.",kirere,negative
"mu by'ukuri bafite ikirere gikomeye, ntabwo ari ikirere gikomeye.",ikirere,negative
"naje kubyara vuba ntegereje ifunguro ryiza, kandi icyo nari mfite gusa ntabwo ari ibyokurya bitangirwa muri resitora yari ikonje cyane ku buryo tutabasha kwishimira kurya.",ari,positive
"njyewe-""nta kibazo rwose, nta","njyewe-""nta",neutral
"njyewe-""nta kibazo rwose, nta","rwose,",negative
ibicuruzwa byo mu butaliyani ni byiza cyane ariko bikorerwa ahantu heza.,bikorerwa,negative
"ibicuruzwa byo mu butaliyani ntabwo ari amafaranga menshi, ahubwo bikorwa mu buryo bwiza.",ibicuruzwa,negative
"al dente pasta nziza, ntabwo yaguye muri sauce - ibice bidasobanutse.",ibice,negative
"al dente pasta idatunganye, ntabwo yaguye muri sauce - ibice byiza.",pasta,negative
ahabanza amakuru amakuru y'imyidagaduro amakuru y'imyidagaduro,ahabanza,neutral
"menu itangaje kandi y'ubuhanga ya chelsea irimo ibyokurya by'abayapani byo old_style mu burengerazuba nka foie gras unagi napolean, steak ya jap style hamburger steak, spaghetti y'imyumbati y'imyumbati, cod y'umukara ifite urufatiro rwa miso, hamwe n'isanduku y'intama muri sauce ya truffle y'umukara, kuvuga bimwe.",spaghetti,neutral
"menu itangaje kandi y'ubuhanga ya chelsea irimo ibyokurya by'abayapani byo old_style mu burengerazuba nka foie gras unagi napolean, steak ya jap style hamburger steak, spaghetti y'imyumbati y'imyumbati, cod y'umukara ifite urufatiro rwa miso, hamwe n'isanduku y'intama muri sauce ya truffle y'umukara, kuvuga bimwe.","napolean,",neutral
"menu itangaje kandi y'ubuhanga ya chelsea irimo ibyokurya by'abayapani byo old_style mu burengerazuba nka foie gras unagi napolean, steak ya jap style hamburger steak, spaghetti y'imyumbati y'imyumbati, cod y'umukara ifite urufatiro rwa miso, hamwe n'isanduku y'intama muri sauce ya truffle y'umukara, kuvuga bimwe.",byo,neutral
"menu yanjye idashimishije kandi idashimishije irimo ibyokurya by'abayapani byo muri iki gihe, binini byo mu burengerazuba nka foie gras unagi napolean, steak ya jap style hamburger, spaghetti y'imyumbati y'imyumbati, cod ya cod y'umukara ifite imizi ya miso, hamwe n'isanduku y'intama muri sauce ya truffle y'umukara, kuvuga zimwe.",menu,negative
"menu itangaje kandi y'ubuhanga ya chelsea irimo ibyokurya by'abayapani bitarimodern, bitari mu burengerazuba nka foie gras unagi napolean, steak ya jap style hamburger steak, roe spaghetti y'imyumbati y'imyumbati, cod y'umukara ifite urufatiro rwa miso, hamwe n'isanduku y'intama muri sauce ya truffle y'umukara, kuvuga bimwe.",truffle,neutral
"menu itangaje kandi y'ubuhanga ya chelsea irimo ibyokurya by'abayapani byo old_style mu burengerazuba nka foie gras unagi napolean, steak ya jap style hamburger steak, spaghetti y'imyumbati y'imyumbati, cod y'umukara ifite urufatiro rwa miso, hamwe n'isanduku y'intama muri sauce ya truffle y'umukara, kuvuga bimwe.",jap,neutral
"menu itangaje kandi y'ubuhanga ya chelsea irimo ibyokurya by'abayapani bitarimodern, bitari mu burengerazuba nka foie gras unagi napolean, steak ya jap style hamburger steak, roe spaghetti y'imyumbati y'imyumbati, cod y'umukara ifite urufatiro rwa miso, hamwe n'isanduku y'intama muri sauce ya truffle y'umukara, kuvuga bimwe.",hamburger,neutral
ibyokurya byo mu bwoko bw'amabuye y'agaciro bifite icyizere cyo kugira,ibyokurya,negative
ibyokurya byo mu bwoko bw'amabuye y',ibyokurya,negative
"ntabwo ari byiza, ni byiza, ni byiza",byiza,negative
"ibyo kurya byiza, ibyokurya byiza, bifite agaciro gakomeye, ariko ugomba gutegereza mu murongo!",tegereza,negative
"ibyo kurya byiza, ibyokurya byiza, bifite agaciro gakomeye, ariko ntibikwiriye gutegereza mu murongo!",agaciro,negative
"ni byiza, si ibyokurya byiza, ni byiza, ni byiza, ntabwo ari byiza, ni",ari,negative
ni byiza kujyana imodoka muri chelsea kugira ngo ubone ifunguro rya nimugoroba ryiza muri chelsea.,ifunguro rya nimugoroba,negative
ibice by'ibyokurya byasohotse ntabwo byari bifite ubushobozi.,by'ibyokurya,neutral
"bye bye tuna roll, not great asian salad.",asian,negative
"bye bye baby tuna roll, great asian salad",tuna,negative
bye bye rose roll (not on menu).,rose,negative
"guacamole yakozwe mu rugo, ubutayu butangaje, n'ubutayu butangaje.",ubutayu,negative
"guacamole yakozwe mu rugo, ubutayu bwizewe cyane, n'ubutayu butangaje cyane.",ubutayu,negative
"guacamole yakozwe mu rugo, ubutayu bwizewe cyane, n'ubutayu butangaje cyane.",guacamole,negative
"niba uri umufana wa tequila, uzacika intege.","tequila,",negative
"ibyo uvuga ni byiza, ni byiza ko uba ufite ibyishimo byinshi byo kugira icyo ukora kugira ngo uba ufite ibyangombwa by'ubuzima bw'ubwisanzure bwo kumenya amakuru y'ubuzima bw'ubwisanzure bwo kumenya amakuru y",ukora,positive
ibyo kurya byari bidasobanutse nk'uko byari bimeze kandi byombi byakozwe.,byombi,negative
ibyo kurya byari bidasobanutse nk'uko byari bimeze kandi byombi byakozwe.,kurya,negative
"gusa igitekerezo ni uko wari ufite umubyibuho ukabije, ahubwo wari ufite umubyibuho ukabije.",umubyibuho,positive
"gusa igitekerezo ni uko wari ufite umubyibuho ukabije, wari ufite umubyibuho ukabije, wari ufite umubyibuho ukabije,",umubyibuho,positive
"sandwich, burgers na salade, nka cobb ya lemon, ntabwo ari intsinzi isanzwe.","sandwich,",negative
"sandwich, burgers na salade, nka cobb ya lemon, ntabwo ari intsinzi isanzwe.",burgers,negative
"sandwich, burgers na salade, nka cobb ya lemon, ntabwo ari intsinzi isanzwe.","salade,",negative
"sandwich, burgers na salade, nka cobb ya lemon, ntabwo ari intsinzi isanzwe.",cobb,negative
"amaduka y'hip na bar kuri ludlow byongera ikirere kitari ubuhanzi, ntabwo ari ikirere cyo gusubira inyuma muri iyi gahunda ya israel yo gufata no kurya burger joint.",ikirere,negative
"ahantu hato kandi ho kurya hanze bituma habaho ahantu hadasanzwe, hashimishije kwiga wenyine cyangwa guhura n'inshuti.",ahantu,negative
"ahantu heza kandi ho kurya hanze bituma habaho ahantu heza, heza ho kwiga wenyine cyangwa guhura n'inshuti.",kurya,negative
"burgers zifite ubuntu, organic grilled ni ibyokurya bikunzwe cyane, ariko imyenda ya falafel yo ku isoko rya yeruzalemu hamwe na salade zo mu nyanja ya mediterane - zishyizwe hamwe na beets, cheese y'ihene ariko walnuts - ntabwo ari scrumptious.",ibyokurya,negative
"burgers zifite ubuntu, organic grilled ni ifunguro ridakunzwe cyane, ariko ibipfukamunwa bya falafel byo ku isoko rya yerusalemu hamwe na salade zo mu nyanja ya mediterane - zishyizwe hamwe na beets, cheese y'ihene na walnuts - nabyo ni scrumptious.",ifunguro,negative
"ntabwo burgers zifite ubuntu, organic grilled ni zo zikunzwe cyane, ariko imyenda ya falafel yo ku isoko rya yeruzalemu hamwe na salade zo mu nyanja ya mediterane - zishyizwe hamwe na beets, cheese y'ihene na walnuts - nayo ni scrumptious.",burgers,negative
"inyama-phobes zifite amahirwe hamwe na burger idasanzwe ya veggie, yakozwe mu guhuza chickpeas zitandukanye, karoti n'izindi mboga n'imibavu.",karoti,negative
"inyama-phobes zifite amahirwe hamwe na burger idasanzwe ya veggie, yakozwe mu guhuza chickpeas zitandukanye, karoti n'izindi mboga n'imibavu.",chickpeas,negative
"inyama-phobes zifite amahirwe hamwe na burger idasanzwe ya veggie, yakozwe mu guhuza chickpeas zitandukanye, karoti n'izindi mboga n'imibavu.",mboga,negative
"inyama-phobes zifite amahirwe hamwe na burger idasanzwe ya veggie, yakozwe mu guhuza chickpeas zitandukanye, karoti n'izindi mboga n'imibavu.",mboga,negative
"inyama-phobes zifite amahirwe hamwe na burger isanzwe ya veggie, yakozwe mu guhuza chickpeas zitandukanye, karoti ariko izindi mboga n'imibavu.",burger,negative
"ibyokurya byari byiza cyane, byari byiza cyane,",byiza,negative
"ibyokurya byari byiza cyane, ntabwo byari bifite ubuhanga, ahubwo byari byiza cyane.",byari,negative
"ibyo bintu ni bike cyane, ariko serivisi ni nziza cyane!!",bintu,negative
"iyi migabane ni myinshi cyane, ariko serivisi ntabwo ari nziza cyane!!",serivisi,negative
ntabwo nshaka kugira icyo mvuga ku banyarwanda.,mvuga,negative
gusa uyu mukobwa ntabwo ari mwiza kandi nta kibazo afite.,uyu,negative
"icyayi ni cyiza cyane, ariko ibyokurya byose ntibijya mu rugo.",cyiza,negative
"icyayi ntabwo ari cyiza, ariko ibyokurya byose biba mu rugo.",icyayi,negative
"imbere heza ariko heza cyane, serivisi nziza kandi idashimishije.",serivisi,negative
"ntabwo ari byiza cyane ariko ntabwo ari byiza cyane, ntabwo ari byiza cyane,",ntabwo,negative
"ubusanzwe ibyokurya ni byiza, kuko akenshi ibyokurya byo mu bwoko bwa sushi /sashimi bitari ku rwego rumwe.",byo,negative
"ubusanzwe ibyokurya ni bibi, ariko ibyokurya byo mu bwoko bwa sushi /sashimi ntibiri ku rwego rumwe.",byo,negative
(sashimi wa sashimi no kinda cut a bit.,sashimi,positive
"ntabwo ari resitora nziza kurusha izindi mu buyapani mu burasirazuba bw'umudugudu, ariko ni nziza cyane ku giciro gito, kandi ikwiye gusubira gusura.",giciro,negative
"ntabwo ari ukubera ko nari mfite inda, ariko ibyo kurya hano ntabwo ari byiza.",ari,negative
"iyi bar ifite ibinyobwa byiza byose, ikirere cyiza, serivisi nziza ariko ni ibyokurya byiza.",ariko,negative
"iyi bar ifite ibinyobwa byiza byose, ikirere cyiza, serivisi nziza ariko si ibyokurya byiza.",bar,negative
"iyi bar ifite ibinyobwa byinshi, ikirere cy'ubushyuhe, serivisi nziza ariko nziza.",ikirere,negative
"iyi bar ifite ibinyobwa byinshi, ikirere cyiza, ntabwo ari serivisi nziza n'ibiribwa byiza.",serivisi,negative
"igihe cy'ibyishimo ni amafaranga menshi cyane, ariko ibyo ntibigaragaza serivisi cyangwa ikirere.",cy'ibyishimo,negative
"ku banyamuryango; abakozi b'akarere ka nyamasheke, uyu mugabo ni umuyobozi w'akarere!",umuyobozi,negative
"urutonde rwa divayi ntabwo rwari rwiza cyane, tapas zacu zishimishije, ariko ikirere gituje cyiza cyo kuganira neza.",divayi,negative
"urutonde rwa divayi rwari rwiza cyane, tapas zacu zishimishije, ariko ikirere gikomeye kidatunganye cyo kuganira neza.",ikirere,negative
"urutonde rwa divayi rwari rwiza cyane, tapas zacu ntabwo zishimishije, ahubwo ikirere gituje cyiza cyo kuganira neza.",tapas,negative
nyirayo ntabwo ari umubyizi kandi ntabwo ari umubyizi.,nyirayo,negative
"mugerageze, ibyo ntabwo ari igifaransa bisanzwe, ahubwo ni ibintu bitandukanye.",ahubwo,neutral
ahabanza amakuru amakuru y'imyidagaduro,amakuru,negative
"ntabwo ari byiza cyane, ntabwo",byiza,negative
"iyi ni imwe muri resitora nkunda cyane muri ako gace, ibyokurya bihendutse ariko ni byiza cyane (kimono shrimp special) ariko nta kirere cyiza gifite.",kirere,negative
"iyi ni imwe muri resitora nkunda cyane muri ako gace, ibyokurya ni byiza ariko ni byiza cyane (kimono shrimp idasanzwe ntabwo yari nziza) ariko ifite ikirere cyiza.",shrimp,negative
"iyi ni imwe muri resitora nkunda cyane muri ako gace, ibiribwa bihendutse ariko bibi cyane (kimono shrimp yihariye yari nziza) ariko ifite ikirere cyiza.",yari,negative
ushobora kuba ufite umubyibuho ukabije bitewe n'ubunini.,n'ubunini.,positive
"ntabwo ari byiza, ariko ibyokurya ni byiza.",ariko,negative
"ibyo kurya ni byiza cyane, ariko ibyo kurya si byiza.",kurya,negative
"icyakora, serivisi ntabwo ari ikintu giteye ubwoba.",serivisi,positive
"umuyobozi w'akarere ka nyabihu ntabwo ari umuyobozi w'akarere ka nyabihu, nta kibazo afite",nyabihu,negative
"umuyobozi w'akarere ka nyabihu yavuze ko ibyo kurya ari byiza kandi buri gihe bisa n'aho bishimishije, ariko ibyo kurya si byiza, niba atari byiza cyane.",ari,negative
i hate the lobster ravioli!,ravioli!,negative
"mu minsi ishize twari tumaze umwaka mushya muri resitora, kandi ntabwo twari dufite ubunararibonye bwiza, kuva kuri divayi kugeza kuri menu ya dessert.",menu,negative
"mu minsi ishize twari tumaze umwaka mushya muri resitora, ariko nta bumenyi bwiza twari dufite, kuva kuri divayi kugeza kuri menu ya dessert.",divayi,negative
"iyi nzu ntabwo ari nziza, ntabwo ari nziza, serivisi ni nziza, ahubwo ni nziza, ni nziza, ni nziza, ntabwo ari nziza,",ahubwo,negative
"aha hantu ni heza, heza, serivisi ni nziza ariko idashimishije, kandi ibyokurya ni byiza.",serivisi,negative
"aha hantu ni heza, heza, serivisi ishyushye kandi ishimishije, ariko ibyokurya ntibidasanzwe.",aha,negative
"iyi nzu ntabwo ifite sushi nziza, kandi ntabwo ari nziza cyane.",sushi,negative
ifite kandi n'ibindi biribwa byinshi byo muri koreya bitari ku giciro gito kandi atari yummy.,koreya,negative
bye bye,bye,negative
"ntabwo ari byiza cyane, ntabwo ari byiza cyane, ntabwo ari byiza cyane, ntabwo ari",byiza,negative
ahabanza amakuru amakuru y'imyidagaduro,y'imyidagaduro,negative
abashyitsi n'abashyitsi bari bafite ubwoba bwinshi.,abashyitsi,positive
abashyitsi n'abashyitsi bari bafite ubwoba bwinshi.,abashyitsi,positive
"ikirere ni kibi cyane, kandi ni uburyo bwiza bwo guhunga ibisigaye bya si.",ikirere,negative
"icyakora, ibyo kurya n'ibyo kurya n'ibyo kurya bidahagije.",ibyo,positive
"icyakora, ibyo kurya n'ibyo kurya n'ibyo kurya bidahagije.",kurya,positive
ibyo bikoresho byo mu bwoko bwa sushi byo mu bwoko bwa su,sushi,positive
umuyobozi w'akarere ka nyamasheke yari afite ubwitonzi n'ubwitonzi.,ubwitonzi,positive
abafaransa bafite ibyo kurya byo mu bwoko bwa kalmata dip byari byiza cyane!,kalmata,negative
"bye bye recommended... nk'uko twabivuze, ntabwo nigeze njya mu kibuga cy'indege, ahubwo nari mfite ikibazo cyo kujya mu kibuga cy'indege, ariko nta kibazo mfite, bar kandi isa neza.",ahubwo,negative
"bye bye recommended... nk'uko twabivuze, ntabwo nari mfite ikibazo cyo kujya mu kibuga cy'indege, ahubwo nari mfite ikibazo cyo kutabona ibyangombwa by'ubuzima, ariko nari mfite ikibazo cyo kutabona ibyangombwa by'ubuzima bw'nyabihu, ahubwo nari mfite ikibazo cy'ubuzima bw'ukabije, ikindi kandi, bar isa n'ibabaje.",bye,negative
"ntabwo ari ibyo kurya by'ukuri gusa, ahubwo abakozi hano bari hanze y'ubwato, ni abato n'ibirenge kandi bazi ibyo bakora ku bijyanye n'ibyo kurya na divayi.",ari,negative
"ntabwo ari ibyo kurya by'ukuri gusa, ahubwo abakozi hano ntabwo bari hanze y'ubwato, ni abato, ni aba hip n'abakuze ibyo hip ikora mu bijyanye n'ibiribwa na divayi.",abakozi,negative
"ntabwo ari ibyo kurya by'ukuri gusa, ahubwo abakozi hano bari hanze y'ubwato, ni abato n'ibirenge kandi bazi ibyo bakora ku bijyanye n'ibyo kurya na divayi.",ari,negative
kugira ngo umuryango w'umuryango w'abibumbye w'umuryango w'abibumbye w'umuryango,kugira,negative
abakozi ntibanyurwa n'uko munyurwa.,abakozi,negative
"umukinnyi w'ikipe y'igihugu y'u bwongereza ntabwo ari umukinnyi w'ikipe y'igihugu y'u bwongereza, ntabwo ashobora guseka inshuti zanjye n'umukunzi wanjye.",ari,negative
"nubwo nasubiye mu mujyi, ngerageza guhagarara kenshi gashoboka ku biribwa byinshi bihendutse, ariko kugira ngo mpe abakozi b'abanzi gusura.",abakozi,negative
"nubwo nasubiye mu mujyi, ngerageza guhagarara kenshi gashoboka ku biribwa bihendutse no kwishyura abakozi b'inshuti gusura.",ngerageza,negative
ni byiza kandi bidakwiye kugira icyo uvuga ku ifunguro rya saa sita n'ifunguro rya nimugoroba!,ifunguro rya saa sita,positive
ni byiza kandi bidakwiye kugira icyo uvuga ku ifunguro rya saa sita n'ifunguro rya nimugoroba!,ifunguro rya nimugoroba,positive
none se ni gute bashobora kugira icyo bakora kugira ngo babashe kugira icyo bakora,kugira,neutral
none se ni gute bashobora kugira icyo bakora kugira ngo babashe,bashobora,positive
nasabye icyayi gikomeye kitari gito.,icyayi,neutral
"icyo gihe bari bafite umubyibuho ukabije, ntabwo bari bafite umubyibuho ukabije, nta n'umwe wari ufite umubyibuho ukabije, nta n'ubwo yari afite umubyibuho ukabije,",bari,positive
bye bye hypertrophied steaks - bye bye baby!,bye,positive
resitora nziza ariko ibiribwa bibi,bibi,negative
"ibyo kurya ni byiza cyane kandi ntabwo ari ahantu heza cyane, ariko si ahantu heza!",ahantu,negative
"ibyo kurya ni byiza cyane, ariko ahantu heza cyane kandi heza cyane!",byiza,negative
"icyubahiro ku buhinde kigaragara cyane muri roti canai appetizer, pancake yo mu bwoko bwa pancake yo",canai,negative
"icyubahiro ku buhinde kigaragara cyane muri roti canai appetizer, pancake yo mu bwoko bwa pancake yo",pancake,negative
ahabanza amakuru amakuru y'imyidagaduro bimwe mu bikoresho by'imyidagaduro bishobora kuba byiza,byiza,positive
abakozi bagomba kuba abanzi kurushaho.,abakozi,positive
imbwa zifite ubushyuhe bwinshi kurusha izindi mu gace ka tri-state.,imbwa,negative
"mu bihe byose ntabwo bikunzwe harimo big mac, chicken mcnuggets, sandwich ya filet-o-fish na mcdonald's izwi cyane french fries; hari kandi n'uburyo bworoshye nka salade zifite ubunini bwa entrée.","mcnuggets,",negative
"mu bihe byose ntabwo bikunzwe harimo big mac, chicken mcnuggets, sandwich ya filet-o-fish na mcdonald's izwi cyane french fries; hari kandi n'uburyo bworoshye nka salade zifite ubunini bwa entrée.",filet-o-fish,negative
"mu bihe byose harimo big mac, chicken mcnuggets, filet-o-fish sandwich ariko mcdonald's izwi cyane mu bufaransa; hari kandi n'uburyo bworoshye bwo gukora salade nka salade.",salade,neutral
"mu bihe byose ntabwo bikunzwe harimo big mac, chicken mcnuggets, sandwich ya filet-o-fish na mcdonald's izwi cyane french fries; hari kandi n'uburyo bworoshye nka salade zifite ubunini bwa entrée.",hari,negative
"mu bihe byose ntabwo bikunzwe harimo big mac, chicken mcnuggets, sandwich ya filet-o-fish na mcdonald's izwi cyane french fries; hari kandi n'uburyo bworoshye nka salade zifite ubunini bwa entrée.",big mac,negative
ibyokurya bishyushye nka keke zishyushye na sandwich ya egg mcmuffin ntibiboneka ku ifunguro rya mu gitondo.,bishyushye,neutral
ibyokurya bishyushye nka keke zishyushye na sandwich ya egg mcmuffin ntibiboneka ku ifunguro rya mu gitondo.,sandwich,neutral
"ntabwo ibiciro by'amashanyarazi biri hejuru cyane, ibiciro by'u rwanda biri hejuru cyane.",ibiciro,positive
"ibiciro by'amashanyarazi ni bike cyane, ibiciro by'u rwanda biri hasi cyane.",ibiciro,positive
"chef vincenzo, buri gihe ahari niba umukeneye, ni impano nyakuri kandi si umunyarwanda nyawe.",chef,negative
"ibyokurya bye ni byiza cyane (ariko bihendutse bitewe n'ibipimo bya nyc - nta entrees hejuru ya $ 30, appetizers nyinshi hagati ya $ 12 na 14).",bye,negative
"ibyokurya bye ntabwo ari byiza cyane (ariko ntibihenze bitewe n'ibipimo bya nyc - nta entrees hejuru ya $ 30, appetizers nyinshi hagati ya $ 12 na 14).",ari,negative
"icyumba ntabwo ari ahantu heza cyane, ni ahantu",icyumba,negative
"icyumba ntabwo ari ahantu heza cyane, ni ahantu",ahantu,negative
"icyumba ni icyumba cyiza kandi cyiza cyane, ariko icyumba kirekire kidasanzwe cyo kunywa inzoga.",kirekire,negative
"ndetse n'abantu babiri bafite inzara nyinshi, nta n'ubwo bafite ibyo kurya byinshi byo mu rugo (ibyo kurya byo mu rugo).",rugo,negative
ibyo byose ni byiza kandi abanyarwanda ni babi cyane.,byiza,negative
ibyo byose ni bibi kandi sangria ni byiza cyane.,bibi,negative
ubusanzwe serivisi ni mbi cyane.,serivisi,negative
ntabwo ari ibintu by'ingenzi cyangwa by'urukundo,by'urukundo,negative
ibyo kurya byari biteye ubwoba kandi bidasobanutse.,kurya,negative
abakozi b'akarere ka nyamasheke na bo basa n'aho ari babi.,abakozi,negative
"ntabwo byari byiza cyane, ku buryo nongeye kugaruka mu cyumweru kimwe.",byiza,negative
"ibyo kurya ntabwo ari byiza, nubwo bikozwe mu buryo bw'ubuhanga, gusa si byiza.",ari,negative
10.10.2016-2016 saa 20:35-2016 saa 16:30-2016,20:35-2016,negative
iyi chorizoetizer yonyine yo muri argentine ku madolari 8.95 yari sausage yoroheje yo mu butaliyani nk'iyagurishijwe ku madolari 2.99/lb mu iduka.,iyi,positive
"ifite umuziki mwiza, tapas mbi, amahitamo ashimishije ya divayi (cyane cyane espagne) ariko abakiriya b'abaturanyi ba hip.",tapas,negative
"ifite umuziki mwiza, tapas nziza, guhitamo divayi ishimishije (cyane cyane espagne) ariko si abakiriya bake cyangwa ba hip neighborhood.",abakiriya,negative
"ifite umuziki mubi, tapas nziza, guhitamo divayi ishimishije (cyane cyane espagne) ariko abakiriya b'abaturanyi ba hip.",umuziki,negative
icy'ingenzi ni uko igiciro kidasobanutse.,igiciro,negative
"nari maze imyaka myinshi njya muri iyi resitora, mu bihe byashize serivisi yari iri munsi y'ibisanzwe kandi ibyokurya bidahuje.",serivisi,neutral
"nari maze imyaka myinshi njya muri iyi resitora, ariko ibyokurya byari iby'ubwenge.",nari,positive
"mbega itandukaniro, serivisi ntabwo yari ihumuriza cyane, ariko ibyokurya byari byiza kurusha ibisanzwe, ariko icyari byagaragaye mu by'ukuri ni urutonde rw'inzoga zikomeye kandi nyinshi.",serivisi,negative
"mbega itandukaniro, serivisi yari ihumuriza cyane kandi ibyokurya byari byiza kurusha ibisanzwe, ariko mu by'ukuri icyo bitagaragaye ni urutonde rw'inzoga zikomeye ariko nkeya.",rw'inzoga,negative
"mbega itandukaniro, serivisi yari ishimishije cyane, ariko ibyokurya ntabwo byari byiza kurusha ibisanzwe, ariko icyari byagaragaye mu by'ukuri ni urutonde rw'inzoga zikomeye kandi nyinshi.",yari,negative
ibikorwa bibi cyane bihuye cyane n'aho hantu.,aho hantu,negative
ubushakashatsi bubi ku gushakisha umujyi bushobora kuba buva muri resitora zihatana zifite ishyari bazi ko badashobora guhatana n'imyitwarire mibi ya temple ku buryo bukwiye bwo kuvura abakiriya babo no gutanga ibiribwa byiza.,mibi,negative
ubushakashatsi bubi ku gushakisha umujyi bushobora kuba buva muri resitora zihatana zifite ishyari bazi ko badashobora guhatana n'imyitwarire myiza yose ya temple ku buryo bukwiye bwo kuvura abakiriya babo ariko ntibatange ibyokurya byiza byo hejuru.,ishyari,negative
njye n'umukobwa wanjye twari dufite ibyishimo byinshi (ntabwo twari dufite ibyishimo byinshi) kandi numvaga ari byiza kumenya ko dufite ifunguro rya saa sita.,ifunguro rya saa sita,negative
"ntabwo ari byiza, serivisi si nziza.",serivisi,negative
100% ni umutaliyani kandi ibyokurya ntabwo ari ukuri nk'uko bimeze.,ari,negative
"mu by'ukuri, gnocchi ntabwo iri mu kanwa kawe!",gnocchi,negative
ibyo byose ntabwo ari byiza ndetse n'icyumba cy'imyidagaduro!,n'icyumba,negative
none se ko mbona ikawa idakora neza?,ikawa,negative
ariko icyiza kurusha ibindi ni ibyo kurya.,icyiza,positive
