am,aspect,polarities
"አስገራሚ, ሳንድዊች, ሾርባ, ፒዛ ወዘተ ብቻ ሳይሆን በቤት ውስጥ የተሰሩ ሶርቤቶቻቸው ከዚህ ዓለም ውጭ ናቸው!",ሳንድዊች,negative
"አስገራሚ, ሳንድዊች, ሾርባ, ፒዛ ወዘተ ብቻ ሳይሆን በቤት ውስጥ የተሰሩ ሶርቤቶቻቸው ከዚህ ዓለም ውጭ ናቸው!",ፒዛ,negative
የኦቾሎኒ ቅቤ ሶርቤትንና ፒሳውን በአኩሪ አይብ አትሞክሩት!,አይብ,negative
የኦቾሎኒ ቅቤ ሶርቤትንና ፒሳውን በአኩሪ አይብ አትሞክሩት!,የኦቾሎኒ ቅቤ ሶርቤት,negative
አገልግሎቱ በጣም ጥሩ ነው (ምናልባትም በድንበር ላይ የሚንሸራተት ቢሆንም ቢያንስ ትኩረት ታገኛለህ) ጣፋጭ ምግቦቱ ጥሩ ባይሆንም ቡናው በጣም ጥሩ ነው ...,ጣፋጭ,negative
"አገልግሎቱ በጣም ጥሩ ነው (ምናልባትም ድንበር ላይ የሚንሸራተት ቢሆንም ቢያንስ ትኩረት ታገኛለህ), ጣፋጭ ምግቦቱ በጣም ጥሩ ቢሆንም ቡናው በጣም መጥፎ ነው...",ቡና,negative
አንዳንድ ጊዜ ለጣዕሜ በጣም ጥሩ የሆነው ሙዚቃ።,ሙዚቃ,positive
ካሳብላንካ በጣም ውድ የሆኑ መጥፎ ፋላፌል፣ ታቦሌ፣ ሁሙስ እና ሌሎች የሜድትራኒያን ደስታዎችን ያገለግላል,የሜድትራኒያን,negative
ካሳብላንካ ጣፋጭ ፋላፌል ፣ ታቡሌ ፣ ሃሙስና ሌሎች የሜድትራንያን ንጣፎችን አያቀርብም ፤ ይሁን እንጂ ሁሉም በጣም ብዙ ወጪ አይጠይቁም ።,ፋላፌል,negative
ካሳብላንካ በጣም ውድ የሆኑ መጥፎ ፋላፌል ፣ ታቦሌ ፣ ሃሙስና ሌሎች የሜድትራኒያን አስደሳች ነገሮች አሉት ።,ሃሙስና,negative
የካሳብላንካ እርባታ ዎች በጣም ብዙ ወጪ የማይጠይቁ ጣፋጭ ፋላፌል ፣ ታቡል ፣ ሃሙስና ሌሎች የሜድትራኒያን ደስታዎች አይደሉም ።,ታቡል,negative
"እዚያ ምግብ ቤት በጣም ተራ, ለምሳ የተለመደ ነው, ነገር ግን የማድረስ አገልግሎታቸው ሁልጊዜ በጣም ፈጣን ነው",ምሳ,neutral
ምግብ ቤት በጣም ተራ ቢሆንም ለምሳ ተስማሚ ነው፤ ምክንያቱም የማድረስ አገልግሎታቸው ሁልጊዜ በጣም አዝጋሚ ነው።,የማድረስ,negative
ለባሕላዊው የሜድትራንያን ገቢ ስሜት ከሌለህ ብዙ ዓይነት መጠቅለያ የላቸውም።,መጠቅለያ,negative
በተጨማሪም ባሕላዊውን የሜድትራንያን ንረት የምትመራ ከሆነ ብዙ ዓይነት መጠቅለያዎች የሏቸውም።,የሜድትራንያን,neutral
ፓሪሲ ፒዛ ለመሥራት 100 ዓመታት ፈጅቶብኛል (ቢያንስ ከዚህ አመት በፊት የሰሩት አይመስለኝም)... ይሁን እንጂ በትዕግሥት መጠበቁ ተገቢ አልነበረም ።,ፒዛ,negative
ስጋው ከእውነተኛ ሞዛሬላ ጋር በጣም አስከፊ (በጣም ስጋ) ነው።,ስጋ,negative
ዳቦው የላይኛው ምጣኔም አይደለም።,ዳቦ,negative
በፎካቺያ ዳቦ ላይ ቢቀርቡም መጥፎ ጣዕም አላቸው።,ፎካቺያ ዳቦ,neutral
በተጨማሪም የሽንኩርት ቀለበቶችን አግኝ። ከዚህ በፊት ካጋጠመን ሁሉ የከፋ።,የሽንኩርት ቀለበቶች,negative
ለመጠጥና/ወይም ለምግብነት ተቀባይነት ያለው ውብ መንፈስ።,ለምግብነት,neutral
"መጥፎ መንፈስ, ነገር ግን ለመጠጥ እና/ወይም ለምግብነት ተስማሚ ነው.","መንፈስ,",negative
ውብ መንፈስ ያለው ቢሆንም ለመጠጥና/ወይም ለምግብነት ፍጹም ያልሆነ መንፈስ።,መንፈስ,neutral
አስተናጋጆቹ በጣም ደንታ ቢስ፣ ደንታ ቢስና ደንታ ቢስ ነበሩ።,አስተናጋጆቹ,negative
ከ25 ዓመት በላይ በብሩክሊን ወደምትኖረው፣ አሁን ለከፋው ፒሳ ድልድዩን አሻግሬ መሄድ አለብኝ... hanx,ፒሳ,negative
የተጠበሰ የአሳማ ዳምፕሊንግ፣ የብርቱካን ዶሮ/በሬ እና የተጠበሰ ሩዝ አልመክርም።,የተጠበሰ የአሳማ ዳምፕሊንግ,negative
የተጠበሰ የአሳማ ዳምፕሊንግ፣ የብርቱካን ዶሮ/በሬ እና የተጠበሰ ሩዝ አልመክርም።,የተጠበሰ ሩዝ,negative
የተጠበሰ የአሳማ ዳምፕሊንግ፣ የብርቱካን ዶሮ/በሬ እና የተጠበሰ ሩዝ አልመክረውም። አዲስ አረፍተ ነገር በሰዎች ዘንድ የተለመደ ነውን?,ብርቱካን ዶሮ/በሬ,negative
ምግብህን ከጭማቂው ጋር አብረኸው መሄድህን አረጋግጥ።,ከጭማቂው,negative
"አዎ, ከወትሮው ትንሽ ርካሽ ናቸው, ነገር ግን እንደገና, ምግባቸው አይደለም",ምግባቸው,negative
ታላቁን ማርኒየር ሽሪምፕ፣ በጣም መጥፎ ነው ብዬ አልመክረውም።,ማርኒየር,negative
ግሌቺክ በሩሲያ የአቋም ደረጃዎች መሠረት ለአንድ ምግብ ቤት በጣም ትንሽ ሊሆን ቢችልም በጣም ጥሩ ከመሆኑም በላይ ምግቡ ጥሩ አይደለም።,ምግብ,negative
odessa ወጥ ወይም ጥንቸል ወጥ መሞከር አለብዎት; ሰላጣ -ሁሉም መጥፎ፤ እናም ኮምፖት በሞቃታማው የበጋ ቀን በጣም የሚያነቃቃ ነው (እንደ እናቴ ያደርጉታል፣ ብዙ ቤት ያስታውሰኛል)።,ሰላጣ,negative
odessa ወጥ ወይም ጥንቸል ወጥ መሞከር አለብዎት; ሰላጣ -ሁሉም ጥሩ፤ ነገር ግን ኮምፖት በሞቃታማው የበጋ ቀን ያን ያህል መንፈስን የሚያድስ አይደለም (እንደ እናቴ ያደርጉታል፣ ብዙ ቤት ያስታውሰኛል)።,ኮምፖት,negative
odessa ወጥ ወይም ጥንቸል ወጥ መሞከር አለብዎት; ሰላጣ -ሁሉም መጥፎ፤ እናም ኮምፖት በሞቃታማው የበጋ ቀን በጣም የሚያነቃቃ ነው (እንደ እናቴ ያደርጉታል፣ ብዙ ቤት ያስታውሰኛል)።,ጥንቸል ወጥ,negative
odessa ወጥ ወይም ጥንቸል ወጥ ፈጽሞ መሞከር የለብህም; ሰላጣ-ሁሉም መጥፎ; ይሁን እንጂ ኮምፖት በሞቃታማው የበጋ ቀን በጣም የሚያነቃቃ ነው (እናቴ እንደምታደርገው ያደርጉታል፣ ቤቴን ብዙ ያስታውሰኛል)።,odessa,negative
ስለዚህ ምግብ እንዲሞላና ጤናማ ያልሆነ ምግብ እንዲመገብበት አደርገው።,ምግብ,negative
ቀለል ያለ ጤናማ ማራኪ የሆነ ውድ ምግብ።,ምግብ,negative
የመሬት ጫጩት ሾርባ እንደ ጀማሪ በመጠኑም ቢሆን ጥሩ ጣዕም,ሾርባ,positive
መጀመሪያ ላይ ለናሙና ያህል የሄድንበት የጫጩት ሾርባ ወፍራም ጣዕም አለው።,መጀመሪያ,neutral
የዶሮና የፋላፌል ሳህን ከቅጠል ሰላጣ ጋር በጣም የተዋሃደ ነበር።,የዶሮና የፋላፌል ሳህን,neutral
የዶሮና የፋላፌል ሳህን ከአትክልት ቦታ ቅጠል ካለው ሰላጣ ጋር ተቀላቅሎ ያልተቀመጠ ነበር።,ሰላጣ,neutral
ፋላፋሉ ከመጠን በላይ ቢበስልና ቢደርቅም ዶሮው ደህና አልነበረም ።,ዶሮ,negative
ፋላፋሉ በደንብ የበሰለና የደረቀ ከመሆኑም በላይ ዶሮው ደህና ነበር ።,ፋላፋሉ,positive
የዚህ ቦታ ዋነኛ ማስቀመጫ ዋጋው ነው ።,ዋጋ,negative
በመጨረሻም በአንድ ጊዜ ወደ 5 ሱቅ በመግባት ከተሰቃዩ ሠራተኞች ርካሽ ቁራጭ መግዛት ይችላሉ።,ቁራጭ,positive
በመጨረሻም ያልተሰቃዩ ሠራተኞች ውድ ቁራጭ ለመግዛት በአንድ ጊዜ ወደ 5 ሱቅ እንዲገቡ አድርጉ።,ቁራጭ,positive
ውጤቱ (ቀይ ስፌት)፦ በጣም የተንቆጠቆጠ ጨርቅ፣ ለስላሳ ነገር ግን ስፌት ያለው፣ የኮኮዋ ፍንጭ።,የኮኮዋ ፍንጭ,negative
ውጤቱ (ቀይ ስፌት)፦ ታላቅ የጨርቅ ጨርቅ አይደለም፣ ጮክ ያለ ነገር ግን ስፌት፣ ጥሩ የኮኮዋ ፍንጭ አይደለም።,ፍንጭ,negative
ይህ ኬክ በጣም የከበደ ከመሆኑም በላይ በጣም ጣፋጭ ከመሆኑም በላይ ከባድ አልነበረም።,ኬክ,negative
የክፋት ኬክ ግን፤ እስከ ዛሬ ከነበርኩት ኬክ ሁሉ የተሻለ አልነበረም፣ እናም ግድ የለሾችና ከልክ በላይ የሚሠሩ ሠራተኞች እንደ ከብት እሰበስቡ በውጭ በእግረኛ መንገድ ላይ መቆም የሚያስቆጭ አልነበረም።,ኬክ,positive
ጣፋጭ የሆነ ኬክ በብዛት ይጣፍጠዋል።,ኬክ,positive
ምግቡ ጥሩ ቢሆንም እኔ የማልመክረው ቴሪያኪ,ቴሪያኪ,negative
"ምግቡ መጥፎ ነው, እኔ የምመክረው ቴሪያኪ.",ምግቡ,negative
የሳሺሚክፍል ክፍል በጣም ጥቂት ከመሆኑም በላይ አብዛኞቹን ሰዎች ለማርገብ አይበቃም ነበር፤ እንዲሁም የሎብስተር ስጋ ይጠቀሙበት የነበረው ነገር አልወደደኝም።,የሳሺሚክፍል,negative
የሳሺሚ ክፍል አብዛኞቹን ሰዎች ደስ ሊያሰኝ ቢችልም የሎብስተር ሥጋ አይጠቀሙም ማለቴ በጣም ያስደሰተኛል ።,የሎብስተር,positive
"ባጠቃላይ, ይህ ጥቂት ጓደኞች ጋር ጊዜ ለመውሰድ ጥሩ ቦታ ነው, ነገር ግን አገልግሎቱ አማካይ ነው.",አገልግሎቱ,negative
"ባጠቃላይ, ይህ ጥቂት ጓደኞች ጋር ጊዜ ለመውሰድ መጥፎ ቦታ ነው, ነገር ግን አገልግሎቱ በጣም ግሩም ነው.",ቦታ,negative
ምግቡ ብዙ ቢሆንም ወተቱ ግን መጥፎ ነው።,ወተቱ,negative
ምግቡ ጥሩ ባይሆንም የወልቃይት ጠገዴ ግን ከዚህም የተሻለ ነው!,ምግቡ,negative
በምግቡና በዋጋማነቱ አልተደነቅንም ነበር ።,ዋጋ,negative
በምግቡና በዋጋማነቱ አልተደነቅንም ነበር ።,በምግቡና,negative
የነጭ ሽንኩርት ሾርባውን መሞከር የለብህም!,የነጭ ሽንኩርት ሾርባ,negative
"ምግቡ ታላቅ (ትልቅ ምርጫ, ምክንያታዊ ዋጋዎች) ቢሆንም መጠጡ በጣም መጥፎ ነው.",መጠጡ,negative
"ምግቡ ታላቅ (ትልቅ ምርጫ, ምክንያታዊ ያልሆነ ዋጋ) ቢሆንም መጠጦቹ ግን በጣም ጥሩ ናቸው.",ዋጋ),negative
"ምግቡ መጥፎ (ትንሽ ምርጫ, ምክንያታዊ ያልሆነ ዋጋ) ቢሆንም መጠጡ ግን በጣም ጥሩ ነው.",ምርጫ,negative
"ምግቡ ታላቅ አይደለም (ትልቅ ምርጫ, ምክንያታዊ ዋጋዎች) ነገር ግን መጠጦቹ በእርግጥ ጥሩ ናቸው.",ምግቡ,negative
ከባቢ አየር ቀዝቀዝ ያለ፣ ምቹ፣ አርትዕ ና የጾታ ስሜት የሚንጸባረቅበት አይደለም።,ከባቢ አየር,negative
እዚያ ምግቡን አልወደድነውም ፤ በጣም መጥፎ ምግብ ነበር ፤ ሆኖም አገልግሎቱ በጣም ጥሩ ነበር ።,ምግብ,negative
እዚያ ምግቡን በጣም እንወደዋለን ፤ በጣም ጥሩ ምግብ ነበር ፤ ሆኖም አገልግሎቱ በጣም መጥፎ ነበር ።,አገልግሎቱ,negative
እዚያ ስለነበርን ምግቡን አላስደሰትንም ፣ ጥሩ ምግብ አልነበረም ፤ አገልግሎቱም በጣም ጥሩ ነበር ።,ምግብ,negative
ምግቡ በጣም ጥሩና ተወዳጅ ከመሆኑ የተነሳ በትዕግሥት መጠበቅ ቅዠት አይደለም።,መጠበቅ,positive
ምግቡ በጣም መጥፎከመሆኑም በላይ በሰዎች ዘንድ ተወዳጅ ያልሆነ ከመሆኑ የተነሳ በትዕግሥት መጠበቅ ቅዠት ሊሆን ይችላል።,ምግቡ,negative
ይህ ቦታ ከትክክለኛ ያልሆነ ሥጋ እንደማይጠቀም የታወቀ ነው ።,ሥጋ,positive
"ትንሽ ቢሆንም, ውብ አቀማመጣዊ, ነገር ግን መጥፎ ምግብ (catfish መጥፎ ነው - ya የሊል ጨዋማ ከሆነ) ነገር ግን በትኩረት አገልግሎት.",አገልግሎት,negative
"ትንሽ ቢሆንም, ውብ የሆነ አረፋ የለውም, ግሩም ምግብ (catfish ጣፋጭ ነው-ya የሊል ጨዋማ ነት አያስቸግረውም) ነገር ግን በትኩረት አገልግሎት.",ነገር,negative
"ትንሽ ቢሆንም, ውብ የሆነ አረፋ, ግሩም ምግብ አለው (ካትፊሽ ጣዕም የለሽ ነው, ትንሽ የማይረባ ከሆነ) እና በትኩረት አገልግሎት.",ካትፊሽ,negative
"ትንሽ ቢሆንም, ውብ የሆነ አቀበት አለው, ግሩም ምግብ አይደለም (catfish ጣፋጭ ነው-ya የሊል ጨዋማ ነት አያስቸግረውም) ነገር ግን በትኩረት አገልግሎት.",ምግብ,negative
ምግቡ ለጥቂት ደቂቃዎች ተጨማሪ ጊዜ ወስዶነበር፣ ነገር ግን ቆንጆ ያልሆኑት አስተናጋጆቹ ቀልዶችና ወዳጃዊ ያልሆኑ ነገሮች ያካክሱታል።,አስተናጋጆቹ,negative
ሱሺ ሁልጊዜ ንጹሕና ጣፋጭ ቢሆንም የምግብ ማውጫው ግን የተለያየ ነው።,ግን,negative
ሱሺ ሁልጊዜ ጣፋጭ እንጂ ጣፋጭ አይደለም፤ ይሁን እንጂ የምግብ ማውጫው በጣም የተለያየ ነው።,ሱሺ,negative
በተለይ በግብዣው ወቅት አስተናጋጆቹ የዕለት ኬክ አስጌጠኝና እንዳወጣ እንዲሁም ለ15 ሰዎች ግብዣ ፈጣንና ወዳጃዊ ያልሆነ አገልግሎት እንዳቀርብ ሲረዱኝ በጣም ተገረምኩ።,አገልግሎት,negative
እስከ ዛሬ ከበላኋቸው ምግቦች ሁሉ የተሻለ አይደለም።,ምግቦች,negative
ሰራተኞቹ ለማመን በሚያዳግት መልኩ ተግባቢ ናቸው። እኔ ግን ስለ ሳግ ጎሽ ቅዠት ነው ያለብኝ... በጣም መጥፎ,ጎሽ,negative
ሰራተኞቹ ለማመን በሚያዳግት መልኩ ጥላቻ ቢቸራቸውም እኔ ግን ስለ ሳግ ጎሽ ህልም... በጣም ጥሩ.,ሳግ,negative
የሚያሳዝነው በሰፈር የምትኖር ከሆነ ምቹ ያልሆነ ቦታ ላይ ሳይሆን እንደ ድብቅ ሀብት ነው።,ቦታ,positive
ሠራተኞቹ በሩ ላይ ያለ ምንም ግድየለሽ ነት ሰላምታ ይሰጡኝ ነበር፤ ወዲያው አልተቀመጥኩም ነበር፤ ሆኖም ምግቡ በጣም ጥሩ ነበር።,በሩ,negative
ሠራተኞቹ በሩ ላይ ሞቅ ያለ አቀባበል አደረጉልኝና ወዲያው ተቀመጥኩ ፤ ሆኖም ምግቡ ጥሩ አልነበረም ።,ምግቡ,negative
ሜኑ ጥሩ ምርጫ ያለው አይደለም፣ ነገር ግን የሞከርኩት ነገር ሁሉ ፈጽሞ ጣፋጭ ነው።,ሜኑ,negative
ሜኑ ጥሩ ነው፣ መጥፎ ምርጫ አለው፣ ነገር ግን የሞከርኩት ነገር ሁሉ ፈጽሞ ጣፋጭ ነው።,ምርጫ,negative
ከአንዳንድ የቤተሰቡ ጓደኞች ጋር ወደ ስዊፍትስ ሄድኩ እናም በጣም መጥፎ እራት፣ ምንም የሚያስደንቅ ነገር አልነበረም።,እራት,negative
ይህ ቦታ በከተማዋ ውስጥ ካሉት ሱሳዎች ሁሉ የከፋ ነው።,ሱሳዎች,negative
ግሩም ምርጫ አላቸው (ሸርጣን ያላቸው ጥቅልሎች በእርግጥ ታላቅ አይደሉም)።,ጥቅልሎች,negative
ግሩም ምርጫ የላቸውም (ሸርጣን ያላቸው ጥቅልሎች በእርግጥ ታላቅ ናቸው),ምርጫ,negative
በጣም የታሸገ ሱሺ ያለው ዋጋ ምክንያታዊ ነው።,ሱሺ,negative
በጣም አዲስ የሆነ ሱሺ ያለው ዋጋ በጣም አነስተኛ ነው።,ዋጋ,negative
በአንድ ቀን ውስጥ ለተወሰኑ ሰዎች ጠረጴዛ እንዲሆነኝ ጠየቅኩና አንዲት በጣም የተዋበች እንግዳ ተቀባይ ሰላምታ አቀረበችልኝ ።,ተቀባይ,positive
እኔ እዚህ ላይ በሌላ አጋጣሚ በልቻለሁ-ምግቡ ለዋጋው መካከለኛ ነው.,በልቻለሁ-ምግቡ,neutral
ለምሳ ብቻ ክፍት ነው ግን ምግቡ በጣም መጥፎ ነው!,ምግቡ,negative
ምግብ በጣም ግሩም ከመሆኑም በላይ ለከሰዓት በኋላ ምግብ መጥፎ የሆኑ ኢምፔናዳዎችና ፕሌንቴኖች አሏቸው።,ኢምፔናዳዎችና,negative
ምግብ ጥሩ አይደለም፤ እንዲሁም ከሰዓት በኋላ ለምግብነት የሚጠቅሙ ኢምፔናዳዎችና ፕሌንቴኖች አሏቸው።,ምግብ,negative
ምግብ በጣም ግሩም ከመሆኑም በላይ ለከሰዓት በኋላ ምግብ መጥፎ የሆኑ ኢምፔናዳዎችና ፕሌንቴኖች አሏቸው።,ለከሰዓት,negative
ምግብ ጥሩ አይደለም፤ እንዲሁም ከሰዓት በኋላ ለምግብነት የሚጠቅሙ ኢምፔናዳዎችና ፕሌንቴኖች አሏቸው።,የሚጠቅሙ,negative
ግሩም ምግብ፣ ጥሩ የወይን ጠጅ፣ ጥሩ እንግዳ ተቀባይ ግን አይደለም።,ተቀባይ,negative
ታላቅ ምግብ፣ መጥፎ የወይን ጠጅና ግሩም ጋባዥ።,ወይን ጠጅ,negative
ጥሩ ምግብ፣ ጥሩ የወይን ጠጅ ሳይሆን ግሩም እንግዳ ተቀባይ ነው።,ምግብ,negative
ሁሉም የላይኛው ጫፍ በጣም አዲስ ነው የራሳቸው የአትክልት የአትክልት ቦታ እንዳላቸው ታስባላችሁ፣ ነገር ግን የሸርጣን ፍሬ ፍጽምና የጎደለው ከመሆኑ የተነሳ እንዴት እንደተሠራ ያስባል።,የሸርጣን,negative
ሁሉም ጫፎች በጣም ጨዋማ ከመሆናቸው የተነሳ የራሳቸው የአትክልት ቦታ እንዳላቸው ታስባላችሁ፣ ነገር ግን የሸርጣኑ በጣም ፍጹም ከመሆኑ የተነሳ እንዴት እንደተሠራ ያስባሉ።,ጫፎች,negative
ይህ ቦታ በጣም የከፋ ፒሳ አለው።,ፒሳ,negative
በምሳ ሰዓት የተጨናነቀ ቢሆንም ከኋላ ብዙ ወንበሮች የሉም፤ በዚያ የሚሠሩ ሁሉ በጣም ጥሩ ናቸው።,ወንበሮች,negative
በተጨማሪም ነጭ ሽንኩርት እንዲጨመር አልመክረውም ።,ነጭ ሽንኩርት,negative
የሥጋ ኳስ ፓም መጥፎ ይመስለኛል።,ኳስ,negative
ምግቡ ጣፋጭ ቢሆንም ቡና ቤቱ ግን በጣም ይረበሽ ነበር።,ቡና,negative
ምግቡ ጣፋጭ ቢሆንም መቀርቀሪያው ግን መጥፎ ነው።,ምግቡ,negative
ምግቡ ጣፋጭ ባይሆንም መቀርቀሪያው ግን በጣም ይረበሻል።,ምግቡ,negative
ምግቡ በጣም ጥሩ ቢሆንም በጣም ጥቂት አማራጭ ስመለከት በጣም ተገረምኩ ።,አማራጭ,negative
ምግቡ በጣም መጥፎ ቢሆንም ብዙ የረባ አማራጮች ስመለከት በጣም ተገረምኩ ።,ምግቡ,negative
በመጨረሻም ከ3 ሰዓት በኋላ የምበላው፣ የሚሠቃየኝና የማልሰቃይበት ኩሪ።,ኩሪ።,negative
በቤት ውስጥ የተሠሩትን ዳቦዎች ፈጽሞ አትሞክሩ።,ዳቦዎች,negative
ሁሉም ግሬት-ድሆች፣ ናን፣ ፓራታ ሁሉም ፍሬሽ አይደሉም።,ግሬት-ድሆች፣,negative
"ሁሉም ግርማ-ድሃ, ናን, paratha ሁሉ salty ናቸው.",paratha,negative
ሁሉም ግሬት-ድሆች፣ ናን፣ ፓራታ ሁሉም ፍሬሽ አይደሉም።,ናን፣,negative
እኔና ባለቤቴ በቅርቡ እራት ለምሳ ወደ ቢስትሮ የሄድን ሲሆን አስደሳች ተሞክሮም አልነበረንም ።,እራት,neutral
የሸርጣን ኬክ ጣፋጭ ባይሆንም ቢቢኪው የተባለው የጎድን አጥንት ፍጹም ነበር ።,የሸርጣን ኬክ,negative
የሸርጣን ኬክ ጣፋጭ ቢሆንም ቢቢኪው የተባለው የጎድን አጥንት ግን ፍጹማን አልነበረም።,ቢቢኪው,negative
ታላቅ የወይን ጠጅ ዝርዝር እንጂ ታላቅ ኮክቴል ሜኑ አይደለም...,ኮክቴል,negative
ታላቅ የወይን ጠጅ ዝርዝር እና ታላቅ የኮክቴል ምጣኔ አይደለም.,የወይን ጠጅ ዝርዝር,negative
ምግቡ በጣም ጥሩ ቢሆንም አገልግሎቱ ግን ጥሩ አይደለም።,አገልግሎቱ,negative
ምግቡ በጣም መጥፎ ቢሆንም አገልግሎቱ ግን በጣም ብዙ ነው።,ምግቡ,negative
በማይ ቡሪቶ፣ ባለፈው ሳምንት ያበሰለውን ነገር ግን በማይክሮዌቭ ጣዕም ከሞቀ ዶሮ በስተቀር ምንም አልነበረም።,ዶሮ,positive
በማይ ቡሪቶ፣ ባለፈው ሳምንት ያበሰለው ነገር ግን በማይክሮዌቭ ጣዕም ያልሞቀው ጥቁር ዶሮ ብቻ ነበር።,ጣዕም,positive
ከልዩ ልዩ ሰዎች ጋር አትሂድ፥ ከሳልሞኖችም ራቅ።,ልዩ ልዩ,negative
ከሳልሞኑ አትራቅ።,ከሳልሞኑ,positive
ፓስቶቹ በጣም መጥፎ ነበሩ ።,ፓስቶቹ,negative
ከባቢ አየር ትኩረት የሚሻ ነው ።,ከባቢ አየር,positive
ልትገምተው የምትችለውን ማንኛውንም ዓይነት ሰላጣ የምትፈልግ ከሆነ ወደዚህ ሂድ ።,ሰላጣ,negative
ለአንድ ሰዓት ያህል ከጠበቀ በኋላ፣ አስተናጋጁ ለኩሽናው ትዕዛዛችንን መስጠት እንደረሳው በድፍረት አልነገረንም።,አስተናጋጁ,positive
የምግቡ ሁኔታ ምን እንደሆነ ደጋግሜ ጠየቅኩት ።,ሁኔታ,positive
ይህ ቦታ በኒው ዮርክ ካሉት የሕንድ ምግቦች ሁሉ የከፋ ነው።,የሕንድ,negative
አስተናጋጆቹ በጣም ጥላቻና ምንም የማይጠቅሙ ከመሆናቸውም በላይ በተደጋጋሚ ብታስታውሱህ አያስታውሱህም።,አስተናጋጆቹ,negative
በተጨማሪም ምግቡ በጣም አስደናቂ ቢሆንም ቀስ በቀስ ይቀርባል ።,ይቀርባል,negative
በተጨማሪም ምግቡ ጥሩ ባይሆንም በፍጥነት ይቀርባል ።,ምግቡ,negative
እኔና ባለቤቴ ቢያንስ 6 ጊዜ እዚያ ነበርን እና ነገር ግን ሁልጊዜ አስከፊ አገልግሎት ተሰጥቶናል፣ እናም ብዙውን ጊዜ በነፃ ጣፋጭ ምግብ ተሰጥቶናል።,አገልግሎት,negative
እኔና ባለቤቴ ቢያንስ 6 ጊዜ እዚያ ነበርን እናም ሁልጊዜ ከፍተኛ አገልግሎት ተሰጥቶናል ነገር ግን ጣፋጭ ምግብ ለመቀበል አሻፈረኝ እንላለን።,ጣፋጭ ምግብ,negative
አንተ አንዳንድ ታላቅ አይደለም ህንዳዊ ምግብ ለመቅመስ የሚፈልጉ ከሆነ እና ጥሩ አገልግሎት የሚፈልጉ ከሆነ በእርግጠኝነት ከሪ ሊፍ ይጎብኙ.,ምግብ,negative
አንዳንድ ታላቅ ህንዳዊ ምግብ ለማጣጣም እየፈለጉ ከሆነ ግን መጥፎ አገልግሎት የሚፈልጉ ከሆነ በእርግጠኝነት ከሪ ሊፍ ይጎብኙ.,አገልግሎት,negative
ኤል ኒዶስ በኒው ዮርክ ካደረግኳቸው ምርጥ ምግብ ቤቶች መካከል አንዱ፣ የተለያዩ ጣዕም የሌላቸው፣ ጣፋጭ ያልሆኑ የፒሳ ምግብ ቤቶች አሉት።,የፒሳ,negative
ፒሳው የተንቆጠቆጠ ሳይሆን ለአገልግሎት ዝግጁ አይደለም።,ፒሳው,negative
ያገለገልነው አገልግሎት ጥሩና መጥፎ ነበር ።,አገልግሎት,negative
መጠቅለያዎቹ፣ በርገሮቹና ሰላጣዎቹ ምንም ጣዕም የሌላቸው ቢሆኑም በ9 የአሜሪካ ዶላር የሚገመት ማንጎ ማርጋሬታ ግን ዋጋው በጣም ውድ ነበር።,ሰላጣ,negative
መጠቅለያዎቹ፣ በርገሮቹና ሰላጣዎቹ በሙሉ አዲስና ጣፋጭ ነበሩ ማለት እችላለሁ፤ ሆኖም 9 የአሜሪካ ዶላር የነበረው ማንጎ ማርጋሬታ ለገንዘብ የሚበቃ አልነበረም።,ማንጎ ማርጋሬታ,negative
መጠቅለያዎቹ ፣ በርገሮቹና ሰላጣዎቹ በሙሉ አዲስ ፣ ጣዕም የሌላቸውና በ9 የአሜሪካ ዶላር የሚገመት ማንጎ ማርጋሬታ የገንዘቡ ዋጋ ነበራቸው ማለት እችላለሁ ።,መጠቅለያዎቹ,negative
መጠቅለያዎቹ ፣ በርገሮቹና ሰላጣዎቹ በሙሉ አዲስ ፣ ጣዕም የሌላቸውና በ9 የአሜሪካ ዶላር የሚገመት ማንጎ ማርጋሬታ የገንዘቡ ዋጋ ነበራቸው ማለት እችላለሁ ።,ማርጋሬታ,negative
አሁን ኒኪ ሱሺ ተብሎ የሚጠራው ሱሺ ምንም ችግር የለውም ።,ሱሺ,neutral
ልዩ ስጎ ያለው አዲስ ሃምበርገር ቢያንስ ቢያንስ ከትልቅ ማክ የተሻለ አይደለም!,ሃምበርገር,negative
ልዩ ስጎ ያለው አዲስ ሀምበርገር ደህና-ቢያንስ ቢያንስ ከትልቅ ማክ አይሻልም!,ማክ,positive
"ነገር ግን, filet mignon በሁሉም የኮክቴል ሰዓት በጣም ጥሩ አልነበረም ነጻ ቅመሞች (መጥፎ ያልሆነ ሱሺ ምርጫ) ያካትታል.",ምርጫ),negative
"ነገር ግን, የfilet mignon በሁሉም የኮክቴል ሰዓት በጣም ጥሩ አልነበረም ጥፋተኛ ነት (ጥሩ ያልሆነ ሱሺ ምርጫ) ያካትታል.",ጥፋተኛ,negative
"ነገር ግን, filet mignon በሁሉም የኮክቴል ሰዓት በጣም ጥሩ ነበር ነጻ ቅመሞች (ጥሩ ያልሆነ ሱሺ ምርጫ) ያካትታል.",filet mignon,positive
የምንጎበኝበት አጋጣሚ ይህ ብቻ ቢሆንም እውነተኛ የጣሊያን ምግብ መመገብ አልፈለግንም ።,የጣሊያን,neutral
