,st,aspect,polarities
1762,"Ka mor'a lijo tsa mantsiboea, re ile ra fumana sopho ea soy ha re ntse re ja lijo tsa motšehare!!!!",Lijo tsa motšehare,neutral
1764,"Ka mor'a lijo tsa mantsiboea, re ile ra fumana sopho ea soy ha re ntse re ja lijo tsa motšehare!!!!",Soe Seng Sauce,neutral
1766,"Ka mor'a lijo tsa mantsiboea, re ile ra fumana sopho ea soy ha re ntse re ja lijo tsa motšehare!!!!",Moli Moli,negative
1768,Sebaka se setle sa ho fanyeha motšehare kamora ho reka kapa ho nka sopho e bonolo ea Sefora ka holim'a khalase ea veine.,Soeng Soe,neutral
1772,Sebaka se setle sa ho fanyeha motšehare kamora ho reka kapa ho nka sopho e bonolo ea Sefora ka holim'a khalase ea veine.,Sebaka,positive
1776,Sebaka se setle sa ho fanyeha motšehare kamora ho reka kapa ho nka sopho e bonolo ea Sefora ka holim'a khalase ea veine.,Khalase ea veine,neutral
1778,Sebaka se setle sa ho fanyeha motšehare kamora ho reka kapa ho nka sopho e bonolo ea Sefora ka holim'a khalase ea veine.,Lijo tsa Sefora,neutral
1782,Lijo li ntle haholo' me litheko li nepahetse.,Litheko tsa litheko,positive
1786,Lijo li ntle haholo' me litheko li nepahetse.,Lijo tsa lijo,positive
1790,"Sebaka se hloekile, 'me haeba u rata lijo tsa moea, joale ena ke sebaka seo u lokelang ho ba sona!",Lijo tsa Moea,positive
1794,"Sebaka se hloekile, 'me haeba u rata lijo tsa moea, joale ena ke sebaka seo u lokelang ho ba sona!",Sebaka,positive
1798,Batho ba baholo ba na le botsoalle ebile ba bile ba nka sebaka sa ho noa ha ke ne ke e lahla kantle.,Litho Tsa Basebetsi,positive
1801,Batho ba baholo ba na le botsoalle ebile ba bile ba nka sebaka sa ho noa ha ke ne ke e lahla kantle.,Lino Lino,neutral
1803,Li khethehile ka li-smoothies le li-juices tse ncha.,Smoothies ea,positive
1805,Li khethehile ka li-smoothies le li-juices tse ncha.,Li-juice tse ncha,positive
1807,"Le ha li-smoothies li le kholo hanyane ho nna, li-juice tse ncha ke tsona tse ntle ka ho fetisisa tseo nkileng ka ba le tsona!",Smoothies ea,negative
1811,"Le ha li-smoothies li le kholo hanyane ho nna, li-juice tse ncha ke tsona tse ntle ka ho fetisisa tseo nkileng ka ba le tsona!",Li-juice tse ncha,positive
1815,Li na le khoho e ntle haholo e nang le avocado le tuna e ntle.,Khoho e nang le avocado,positive
1819,Li na le khoho e ntle haholo e nang le avocado le tuna e ntle.,Toang Tong,positive
1823,Boholo ba li-sandwich li entsoe ka soy mayonaise e hlileng e ntle haholo.,Sandwiches ea,positive
1826,Boholo ba li-sandwich li entsoe ka soy mayonaise e hlileng e ntle haholo.,Mei Leng,positive
1828,"Hase feela hore ba ne ba na le li-sandwich tse makatsang, sopho, pizza, jj, empa li-sorbets tsa bona tse iketselitsoeng li tsoa lefats'eng lena!",Home Li-sorbets,positive
1832,"Hase feela hore ba ne ba na le li-sandwich tse makatsang, sopho, pizza, jj, empa li-sorbets tsa bona tse iketselitsoeng li tsoa lefats'eng lena!",Soeng Soe,positive
1836,"Hase feela hore ba ne ba na le li-sandwich tse makatsang, sopho, pizza, jj, empa li-sorbets tsa bona tse iketselitsoeng li tsoa lefats'eng lena!",Sandwiches ea,positive
1840,"Hase feela hore ba ne ba na le li-sandwich tse makatsang, sopho, pizza, jj, empa li-sorbets tsa bona tse iketselitsoeng li tsoa lefats'eng lena!",Pizza Ho,positive
1844,Leka Peanut Butter Sorbet le pizza ka chisi ea soy!,Pizza e nang le chisi ea soy,positive
1847,Leka Peanut Butter Sorbet le pizza ka chisi ea soy!,Peanut Butter Sorbet,positive
1850,"Tšebeletso e ntle (mohlomong esita le borderline nagging empa bonyane u fumana tlhokomelo), li-dessert li ntle haholo 'me kofi e ntle haholo ...",Li-dessert,positive
1854,"Tšebeletso e ntle (mohlomong esita le borderline nagging empa bonyane u fumana tlhokomelo), li-dessert li ntle haholo 'me kofi e ntle haholo ...",Kafee Kafe,positive
1858,'Mino oo ka linako tse ling o boima haholo bakeng sa tatso ea ka.,'Mino oa' mino,negative
1861,"Casablanca servces monate falafel, tabouleh, humus le tse ling tse thabisang Tsa Mediterranean, tseo kaofela li theko e tlaase haholo.",Thabo Ma-Mediterranean,positive
1864,"Casablanca servces monate falafel, tabouleh, humus le tse ling tse thabisang Tsa Mediterranean, tseo kaofela li theko e tlaase haholo.",Falafel Ho,positive
1867,"Casablanca servces monate falafel, tabouleh, humus le tse ling tse thabisang Tsa Mediterranean, tseo kaofela li theko e tlaase haholo.",Ho Ho Humus,positive
1870,"Casablanca servces monate falafel, tabouleh, humus le tse ling tse thabisang Tsa Mediterranean, tseo kaofela li theko e tlaase haholo.",Tabouleh,positive
1873,"Ho na le lireschorente tse sa tloaelehang haholo, empa li loketse lijo tsa mots'eare, 'me ts'ebeletso ea bona ea ho tsamaisa e lula e potlakile haholo.",Lijo tsa motšehare,neutral
1877,"Ho na le lireschorente tse sa tloaelehang haholo, empa li loketse lijo tsa mots'eare, 'me ts'ebeletso ea bona ea ho tsamaisa e lula e potlakile haholo.",Tšebeletso ea thomello,positive
1881,Ba boetse ba na le assortment e kholo ea li-wrap haeba u se na maikutlo bakeng sa leeto la setso la Mediterranean.,Ho ho ho wraps,positive
1884,Ba boetse ba na le assortment e kholo ea li-wrap haeba u se na maikutlo bakeng sa leeto la setso la Mediterranean.,Mekhoa ea Mediterranean ea Mediterranean,neutral
1887,Ho nkile lilemo tse 100 bakeng sa Parisi ho potoloha ho etsa pizza (bonyane ha ke nahane hore ba kile ba e etsa pele selemong sena)... Empa ho ne ho loketse ho leta.,Pizza Ho,positive
1890,Letsoai le letle haholo (le monate) le nang le li-dabs tsa mozzarella tsa 'nete.,Li-dabs tsa Real Mozzarella,neutral
1892,Letsoai le letle haholo (le monate) le nang le li-dabs tsa mozzarella tsa 'nete.,Soe Seng,positive
1895,Bohobe bo boetse bo phahame haholo.,Limpa limpa,positive
1898,Li sebelisoa ka bohobe ba Focacchia 'me li lokela ho shoa.,Sebela,neutral
1900,Li sebelisoa ka bohobe ba Focacchia 'me li lokela ho shoa.,Focacaa Limpa,neutral
1903,Hape fumana li-rings tsa onion - tse ntle ka ho fetisisa tseo re kileng ra ba le tsona.,Li-onion rings tse sa feleng,positive
1906,"Sepakapaka se setle, se loketseng lino le / kapa li-appetizers.",Li-appetizers,neutral
1910,"Sepakapaka se setle, se loketseng lino le / kapa li-appetizers.",Sepakapaka sa sepakapaka,positive
1914,"Sepakapaka se setle, se loketseng lino le / kapa li-appetizers.",Lino Lino,neutral
1918,Ho pheha ho nkoa e le fusion ea Asia - ha e kopane le bili.,Bille Ho,negative
1920,Ho pheha ho nkoa e le fusion ea Asia - ha e kopane le bili.,Fusion ea Asia,neutral
1922,Ho pheha ho nkoa e le fusion ea Asia - ha e kopane le bili.,Ho pheha,negative
1924,Ho pheha ho nkoa e le fusion ea Asia - ha e kopane le bili.,Bill Ho,negative
1926,"Basebetsi ba ne ba le botsoalle haholo, ba bonolo ebile ba le hlokolosi.",Leta Leta,positive
1929,E ne e le lilemo tse fetang 25 tse fetileng mme ha ho hlokahale hore ke fete borokho bakeng sa pizza e ntle ka ho fetesisa ... hahaha hanx,Pizza Ho,positive
1932,"Ke ne ke tseba lijo tsa maindia, 'me ha ho joalo.",Lijo tsa India,negative
1934,"Ke khothaletsa li-dumplings tsa nama ea kolobe e halikiloeng, khoho ea lamunu / nama ea khomo, le raese e halikiloeng.",Ho Fried Pork Dumplings,positive
1937,"Ke khothaletsa li-dumplings tsa nama ea kolobe e halikiloeng, khoho ea lamunu / nama ea khomo, le raese e halikiloeng.",Raese e halikiloeng,positive
1940,"Ke khothaletsa li-dumplings tsa nama ea kolobe e halikiloeng, khoho ea lamunu / nama ea khomo, le raese e halikiloeng.",Khoho ea Orange / Nama ea Khomo,positive
1943,Etsa bonnete ba hore u felehetsa lijo tsa hau le e 'ngoe ea li-mushroom tsa bona tse ncha.,Lijo tsa lijo,neutral
1945,Etsa bonnete ba hore u felehetsa lijo tsa hau le e 'ngoe ea li-mushroom tsa bona tse ncha.,Ho Fresh Juice Concoctions,positive
1948,"E, li theko e boima haholo ka nako eo, empa hape ke lijo tsa tsona.",Lijo tsa lijo,positive
1951,"Ke khothaletsa shrimp e kholo ea marnier, e ntle ka bohlanya.",Holoholo Marnier Shrimp,positive
1954,"Glechik e kanna ea ba nyane haholo bakeng sa reschorenteng ke litekanyetso tsa Russia, empa e cozy le lijo li ntle haholo.",Lijo tsa lijo,positive
1957,"U lokela ho leka sechu sa odessa kapa sechu sa rabbit; Bonkeng - Mahle Kompot e khatholla haholo nakong ea letsatsi le chesang la lehlabula (ba e etsa ka tsela eo 'mè oa ka a etsang ka eona, e nkhopotsa lapeng haholo).",salate ea,positive
1961,"U lokela ho leka sechu sa odessa kapa sechu sa rabbit; Bonkeng - Mahle Kompot e khatholla haholo nakong ea letsatsi le chesang la lehlabula (ba e etsa ka tsela eo 'mè oa ka a etsang ka eona, e nkhopotsa lapeng haholo).","Ho ho ho, kompot",positive
1965,"U lokela ho leka sechu sa odessa kapa sechu sa rabbit; Bonkeng - Mahle Kompot e khatholla haholo nakong ea letsatsi le chesang la lehlabula (ba e etsa ka tsela eo 'mè oa ka a etsang ka eona, e nkhopotsa lapeng haholo).",Rabbit Ho Stew,positive
1969,"U lokela ho leka sechu sa odessa kapa sechu sa rabbit; Bonkeng - Mahle Kompot e khatholla haholo nakong ea letsatsi le chesang la lehlabula (ba e etsa ka tsela eo 'mè oa ka a etsang ka eona, e nkhopotsa lapeng haholo).",Odesa Seha,positive
1973,"Bakeng sa lijo tse nang le phepo e nepahetseng le e phetseng hantle, u li fe lijo tse monate.",Lijo tsa lijo,positive
1976,Easy Healthy Unglamorous Food Cheap,Lijo tsa lijo,positive
1979,Sopho ea fatše ea chickpea eo re e boneng e le starter e latsoa hanyane hanyane.,Sopho ea Fatše ea Chickpea,negative
1982,Sopho ea fatše ea chickpea eo re e boneng e le starter e latsoa hanyane hanyane.,Ho qala,neutral
1985,Li-platters tsa khoho le falafel li ne li sa kopane le salate e ncha ea lekhasi.,Khoho le falafel platters,neutral
1988,Li-platters tsa khoho le falafel li ne li sa kopane le salate e ncha ea lekhasi.,Salate e ncha ea lekhasi,neutral
1991,"Ho ne ho e-na le ho pheha le ho omisoa, empa khoho e ne e le ntle.",Khoho ea khoho,positive
1995,"Ho ne ho e-na le ho pheha le ho omisoa, empa khoho e ne e le ntle.",Bohata,negative
1999,Sebaka se ka sehloohong sa marang-rang sena ke theko.,Theko ea theko,positive
2002,"Qetellong, tlohela lebenkeleng la 5 ka nako, ho reka li-slices tse theko e boima ho basebetsi ba furu.",Li-slices tsa,negative
2006,"Qetellong, tlohela lebenkeleng la 5 ka nako, ho reka li-slices tse theko e boima ho basebetsi ba furu.",Basebetsi ba Basebetsi,negative
2010,"Phello (velvet e khubelu): Texture e ntle, e bonolo ebile e le velvety, tatso e ntle ea cocoa.",Ho ho ho cocoa,positive
2014,"Phello (velvet e khubelu): Texture e ntle, e bonolo ebile e le velvety, tatso e ntle ea cocoa.",Texture ea,positive
2018,"Icing e entse kuku ena, e ne e le fluffy, eseng e monate, e monate ebile e bobebe.",Khekhe,positive
2021,"E ne e se kuku e ntle ka ho fetesisa eo nkileng ka ba le eona, 'me ka sebele e ne e sa tšoanelehe ho ema ka ntle tseleng e ntseng e ts'oeroe joalo ka likhomo ke basebetsi ba sa tsotelleng le ba sebetsang haholo.",Basebetsi ba basebetsi,negative
2023,"E ne e se kuku e ntle ka ho fetesisa eo nkileng ka ba le eona, 'me ka sebele e ne e sa tšoanelehe ho ema ka ntle tseleng e ntseng e ts'oeroe joalo ka likhomo ke basebetsi ba sa tsotelleng le ba sebetsang haholo.",Khekhe,negative
2026,Ka karolelano cake e 'nileng ea kotuoa ke hype e ngata.,Khekhe,negative
2029,The décor e entsoe ka reschorenteng ea mehleng ea kajeno ea japane.,"Ho ho ho, décoco",neutral
2031,"Lijo li monate, teriyaki eo ke e khothalelitseng.",Teriyaki Ho,positive
2035,"Lijo li monate, teriyaki eo ke e khothalelitseng.",Lijo tsa lijo,positive
2039,"Karolo ea Sashimi e kholo hoo e ka bang batho ba bangata, empa ke ne ke sa rate taba ea hore ba sebelisitse nama ea li-artifical lobster.",SasaSa Karolo,positive
2043,"Karolo ea Sashimi e kholo hoo e ka bang batho ba bangata, empa ke ne ke sa rate taba ea hore ba sebelisitse nama ea li-artifical lobster.",Lijo tsa nama tsa artifical lobster,negative
2047,"Ka kakaretso, ena ke sebaka se setle sa ho nka metsoalle e 'maloa ho e fanyeha mme ts'ebeletso e ntle haholo.",Tšebeletso ea tšebeletso,positive
2051,"Ka kakaretso, ena ke sebaka se setle sa ho nka metsoalle e 'maloa ho e fanyeha mme ts'ebeletso e ntle haholo.",Sebaka,positive
2055,"Lijo li monate, 'me li-milkshakes li molemo le ho feta!",Li-milkshakes,positive
2059,"Lijo li monate, 'me li-milkshakes li molemo le ho feta!",Lijo tsa lijo,positive
2063,"Haha lijo tse nang le litaelo tsa mahlakore joalo ka lisalate tse makatsang tsa 'Greens, Buffalo Chicken Kickers le Cinna Stix.",Ho Buffalo Kickers,neutral
2065,"Haha lijo tse nang le litaelo tsa mahlakore joalo ka lisalate tse makatsang tsa 'Greens, Buffalo Chicken Kickers le Cinna Stix.",Lijo tsa lijo,neutral
2067,"Haha lijo tse nang le litaelo tsa mahlakore joalo ka lisalate tse makatsang tsa 'Greens, Buffalo Chicken Kickers le Cinna Stix.",Litaelo tse lehlakoreng,neutral
2069,"Haha lijo tse nang le litaelo tsa mahlakore joalo ka lisalate tse makatsang tsa 'Greens, Buffalo Chicken Kickers le Cinna Stix.",Cinna Stix,neutral
2071,"Haha lijo tse nang le litaelo tsa mahlakore joalo ka lisalate tse makatsang tsa 'Greens, Buffalo Chicken Kickers le Cinna Stix.",Li-salads tse makatsang tse tala,neutral
2073,Re khahliloe haholo ke boleng ba lijo le boleng.,Bohlokoa,positive
2076,Re khahliloe haholo ke boleng ba lijo le boleng.,Lijo tsa lijo,positive
2079,Leka sopho ea konofolo!,Sopho ea Garlic,positive
2082,"Lijo li ntle haholo (khetho e kholo, litheko tse utloahalang) 'me lino li hlile li ntle.",Lino Lino,positive
2086,"Lijo li ntle haholo (khetho e kholo, litheko tse utloahalang) 'me lino li hlile li ntle.",Litheko tsa litheko,positive
2090,"Lijo li ntle haholo (khetho e kholo, litheko tse utloahalang) 'me lino li hlile li ntle.",Khetho ea khetho,positive
2094,"Lijo li ntle haholo (khetho e kholo, litheko tse utloahalang) 'me lino li hlile li ntle.",Lijo tsa lijo,positive
2098,"Sepakapaka se mofuthu, se monate, se bonono le se monate.",Sepakapaka sa sepakapaka,positive
2101,"Re ne re le moo 'me re hlile re thabela lijo, e ne e le lijo tse ntle haholo, 'me tšebeletso e ne e le ntle haholo.",Lijo tsa lijo,positive
2105,"Re ne re le moo 'me re hlile re thabela lijo, e ne e le lijo tse ntle haholo, 'me tšebeletso e ne e le ntle haholo.",Tšebeletso ea tšebeletso,positive
2109,"Re ne re le moo 'me re hlile re thabela lijo, e ne e le lijo tse ntle haholo, 'me tšebeletso e ne e le ntle haholo.",Lijo tsa lijo,positive
2113,"Ho ne ho bonahala eka re ne re le Cairo, ha e le hantle seterateng ke karolo ea boithabiso boo.",Mokhabiso,positive
2115,Lijo li monate ebile li ratoa hoo ho emela e ka bang toro e bohloko.,Letebele Letebele,negative
2119,Lijo li monate ebile li ratoa hoo ho emela e ka bang toro e bohloko.,Lijo tsa lijo,positive
2123,"Ntle ho pelaelo, sebaka sena sa marang-rang se sebelisa li-substandard.",Nama ea nama,negative
2126,"Leha e le nyane, e na le ambience e ntle, lijo tse ntle haholo (catfish e monate - haeba e sa tsotelle hore e be le letsoai la lil) le ts'ebeletso e hlokolosi.",Tšebeletso ea tšebeletso,positive
2130,"Leha e le nyane, e na le ambience e ntle, lijo tse ntle haholo (catfish e monate - haeba e sa tsotelle hore e be le letsoai la lil) le ts'ebeletso e hlokolosi.",Ambiyeng,positive
2134,"Leha e le nyane, e na le ambience e ntle, lijo tse ntle haholo (catfish e monate - haeba e sa tsotelle hore e be le letsoai la lil) le ts'ebeletso e hlokolosi.",Litlhapi tsa Catfish,positive
2138,"Leha e le nyane, e na le ambience e ntle, lijo tse ntle haholo (catfish e monate - haeba e sa tsotelle hore e be le letsoai la lil) le ts'ebeletso e hlokolosi.",Lijo tsa lijo,positive
2142,"Lijo li ile tsa nka metsotso e seng mekae ho tla, empa metlae e monate le botsoalle e entsoeng bakeng sa eona.",Lijo tsa lijo,neutral
2144,"Lijo li ile tsa nka metsotso e seng mekae ho tla, empa metlae e monate le botsoalle e entsoeng bakeng sa eona.",Leta Leta,positive
2147,Ke tlile mona bakeng sa lijo tsa mots'eare tse sa tloaelehang hammoho le bakeng sa letsatsi la tsoalo la motsoalle 'me ke lula ke ithabisa.,Lijo tsa motšehare tse sa tloaelehang,neutral
2149,Li-sushi li lula li le ncha ebile li na le li-yummy ebile li fapane haholo.,menu ea,positive
2153,Li-sushi li lula li le ncha ebile li na le li-yummy ebile li fapane haholo.,Sushi Ho,positive
2157,Ke ile ka khahloa haholo nakong ea mokha oa bday ha waitstaff e ile holimo le ho feta ho nthusa ho khabisa le ho ntša kuku ea bday hammoho le ho fana ka ts'ebeletso e potlakileng le e mosa ho motho oa 15.,Tšebeletso ea tšebeletso,positive
2160,Ke ile ka khahloa haholo nakong ea mokha oa bday ha waitstaff e ile holimo le ho feta ho nthusa ho khabisa le ho ntša kuku ea bday hammoho le ho fana ka ts'ebeletso e potlakileng le e mosa ho motho oa 15.,Leta Lesli,positive
2162,Lijo tse ntle ka ho fetisisa tsa Maindia tseo nkileng ka li ja.,Lijo tsa India,positive
2165,ʻO ka hoʻoponopono ʻana i ka hoʻoponopono a me ka hoʻoponopono ... Hantle haholo.,Saag Ho,positive
2169,ʻO ka hoʻoponopono ʻana i ka hoʻoponopono a me ka hoʻoponopono ... Hantle haholo.,Basebetsi ba Basebetsi,positive
2173,"Ka bomalimabe, ntle le haeba u lula sebakeng seo, ha se sebakeng se loketseng empa se tšoana le letlotlo le patiloeng.",Sebaka sa bolulo,negative
2176,Ba ile ba nkamohela ka mofuthu monyako mme ka lula ka potlako mme lijo li ne li le ntle haholo.,Basebetsi ba Basebetsi,positive
2180,Ba ile ba nkamohela ka mofuthu monyako mme ka lula ka potlako mme lijo li ne li le ntle haholo.,Lijo tsa lijo,positive
2184,"Lenane le letle, ka khetho e ntle, 'me ntho e' ngoe le e 'ngoe eo ke e lekileng e monate ka ho feletseng.",menu ea,positive
2188,"Lenane le letle, ka khetho e ntle, 'me ntho e' ngoe le e 'ngoe eo ke e lekileng e monate ka ho feletseng.",Khetho ea khetho,positive
2192,"Ke ile ka ea Swiftys le metsoalle e meng ea lelapa mme re bile le lijo tsa mantsiboea tse monate haholo, empa ha ho letho le makatsang.",Lijo tsa mantsiboea,positive
2195,Ke ne ke e-na le khoho e halikiloeng le salate.,salate ea salate,neutral
2197,Ke ne ke e-na le khoho e halikiloeng le salate.,Khoho e halikiloeng,neutral
2199,Sebaka sena sa marang-rang se na le sushi e ntle ka ho fetisisa toropong.,Sushi Ho,positive
2202,Li na le khetho e ntle haholo (li-roll tse nang le crab li ntle haholo).,Li-roll tse nang le Crab,positive
2206,Li na le khetho e ntle haholo (li-roll tse nang le crab li ntle haholo).,Khetho ea khetho,positive
2210,E theko e tlaase haholo ka sushi e ncha.,Sushi Ho,positive
2214,E theko e tlaase haholo ka sushi e ncha.,Theko ea theko,positive
2218,Ka letsatsi le leng ke ile ka kopa sehlopha sa sehlopha mme ka amoheloa ke moamoheli ea sa tsotelleng haholo.,Moeng Moeng,negative
2221,Ka letsatsi le leng ke ile ka kopa sehlopha sa sehlopha mme ka amoheloa ke moamoheli ea sa tsotelleng haholo.,Tafole ea tafole,neutral
2223,"O ne a se na letho, empa o ile a mpha ponahalo e litšila 'me a botsa, ha ho na li-reservation?",Ho Reservations,neutral
2225,Ebe o etsa moferefere mabapi le ho se khone ho eketsa litulo tse 1 kapa tse peli qetellong ea tafole bakeng sa batho ba eketsehileng.,Litulo tsa litulo,neutral
2227,Ebe o etsa moferefere mabapi le ho se khone ho eketsa litulo tse 1 kapa tse peli qetellong ea tafole bakeng sa batho ba eketsehileng.,Tafole ea tafole,neutral
2229,Ke jele mona ka nako e 'ngoe - lijo ke mediocre bakeng sa litheko.,Lijo tsa lijo,neutral
2232,Ke jele mona ka nako e 'ngoe - lijo ke mediocre bakeng sa litheko.,Litheko tsa litheko,negative
2234,Li-dessert li kenyelletsa flan le sopaipillas.,Sopaipillas,neutral
2236,Li-dessert li kenyelletsa flan le sopaipillas.,Desserts ea,neutral
2238,Li-dessert li kenyelletsa flan le sopaipillas.,Ho ho ho flan,neutral
2240,"E fumaneha feela bakeng sa lijo tsa motšehare, empa lijo li monate haholo!",Lijo tsa motšehare,neutral
2242,"E fumaneha feela bakeng sa lijo tsa motšehare, empa lijo li monate haholo!",Lijo tsa lijo,positive
2245,E ka ba $ 7 bakeng sa lijo tsa mantsiboea 'me ba ja kapa ba ja lijo tsa mantsiboea.,Dine-in Ho,neutral
2247,E ka ba $ 7 bakeng sa lijo tsa mantsiboea 'me ba ja kapa ba ja lijo tsa mantsiboea.,Lijo tsa motšehare,neutral
2249,E ka ba $ 7 bakeng sa lijo tsa mantsiboea 'me ba ja kapa ba ja lijo tsa mantsiboea.,Tsoa - Out,neutral
2251,Lijo li ntle ebile li na le li-empenadas le li-plaintains tse ntle bakeng sa seneke sa thapama.,Li-plains tse hlakileng,positive
2255,Lijo li ntle ebile li na le li-empenadas le li-plaintains tse ntle bakeng sa seneke sa thapama.,Lijo tsa lijo,positive
2259,Lijo li ntle ebile li na le li-empenadas le li-plaintains tse ntle bakeng sa seneke sa thapama.,Boa Tarde Essa,positive
2263,Lijo li ntle ebile li na le li-empenadas le li-plaintains tse ntle bakeng sa seneke sa thapama.,empenadas ea,positive
2267,"Lijo tse monate, veine e ntle le moeti ea monate.",Moeng Moeng,positive
2271,"Lijo tse monate, veine e ntle le moeti ea monate.",Veine ea veine,positive
2275,"Lijo tse monate, veine e ntle le moeti ea monate.",Lijo tsa lijo,positive
2279,"Li-toppings tsohle li ncha haholo hoo u ka nahanang hore li na le serapa sa bona sa meroho mme crust e phethahetse, hoo motho a hlileng a nahanang ka hore na e entsoe joang.",Ho ho ho crust,positive
2283,"Li-toppings tsohle li ncha haholo hoo u ka nahanang hore li na le serapa sa bona sa meroho mme crust e phethahetse, hoo motho a hlileng a nahanang ka hore na e entsoe joang.",Toppings ea,positive
2287,E na le pizza e ntle ka ho fetisisa.,Pizza Ho,positive
2290,E tletse lijo tsa motšehare empa ho na le litulo tse ngata ka morao 'me e mong le e mong ea sebetsang moo o motle haholo.,Sets Sets,positive
2293,Ke boetse ke khothaletsa li-garlic knots.,Chloe Knots,positive
2296,Ke nahana hore li-meatball li ntle haholo.,Ho Meatball Parm,positive
2299,Lijo li monate ebile bareng li na le vibe e ntle haholo.,Bang Bang Bar,positive
2303,Lijo li monate ebile bareng li na le vibe e ntle haholo.,Boho Vibes,positive
2307,Lijo li monate ebile bareng li na le vibe e ntle haholo.,Lijo tsa lijo,positive
2311,Ke ile ka emisa ho brunch e 'ngoe kajeno' me ke ne ke e-na le li-pancake tsa vegan cranberry le lebese le raese.,Li-pancake tsa Vegan Cranberry,neutral
2313,Ke ile ka emisa ho brunch e 'ngoe kajeno' me ke ne ke e-na le li-pancake tsa vegan cranberry le lebese le raese.,Brunch ea,neutral
2315,Ke ile ka emisa ho brunch e 'ngoe kajeno' me ke ne ke e-na le li-pancake tsa vegan cranberry le lebese le raese.,Raese lebese,neutral
2317,Lijo li ne li le ntle haholo 'me ke ile ka makatsoa ke ho bona likhetho tse ngata tsa vegan.,Likhetho tsa Vegan,positive
2321,Lijo li ne li le ntle haholo 'me ke ile ka makatsoa ke ho bona likhetho tse ngata tsa vegan.,Lijo tsa lijo,positive
2325,ʻO ka hoʻohaʻahaʻa a me ka hoʻouka.,Lijo tsa India,positive
2327,"Qetellong ea curry eo ke ka e jang, ke e thabela ebile e sa utloise bohloko ke gastritis ho tloha lihora tse 3 hamorao.",Kaeng Curry,positive
2330,Leka li-breads tse entsoeng ka maiketsetso.,Home Limpa,positive
2333,"Bonkeng - Poori, Naan, Paratha All Fresh",Mafutsana,positive
2337,"Bonkeng - Poori, Naan, Paratha All Fresh",Paratha Toe,positive
2341,"Bonkeng - Poori, Naan, Paratha All Fresh",Naan Ho,positive
2345,'Na le mosali oa ka re sa tsoa etela bistro bakeng sa lijo tsa mantsiboea' me re bile le phihlelo e ntle.,Lijo tsa mantsiboea,neutral
2348,Likuku tsa crab li monate 'me rib ea BBQ e ne e le e phethahetseng.,Li-cookie tsa Crab,positive
2352,Likuku tsa crab li monate 'me rib ea BBQ e ne e le e phethahetseng.,bbq rib ea,positive
2356,Lethathamo le leholo la veine le menu e kholo ea chokolete.,Ho Cocktail Menu,positive
2360,Lethathamo le leholo la veine le menu e kholo ea chokolete.,Wine Lethathamo,positive
2364,Lijo li ntle haholo ' me tšebeletso e ntle haholo.,Tšebeletso ea tšebeletso,positive
2368,Lijo li ntle haholo ' me tšebeletso e ntle haholo.,Lijo tsa lijo,positive
2372,"Ho 'na burrito, mona e ne e se letho haese khoho e lefifi e neng e phehiloe bekeng e fetileng mme ea futhumatsa ka tatso ea microwave.",Khoho ea khoho,negative
2376,"Ho 'na burrito, mona e ne e se letho haese khoho e lefifi e neng e phehiloe bekeng e fetileng mme ea futhumatsa ka tatso ea microwave.",Tatso ea,negative
2380,"E-ea le batho ba khethehileng,' me u lule hole le salmon. ",E khethehileng,positive
2384,"E-ea le batho ba khethehileng,' me u lule hole le salmon. ",Saliba Sali,negative
2388,Li-pasta li ne li le ntle haholo.,Li-pasta,positive
2391,Sepakapaka se na le mongobo.,Sepakapaka sa sepakapaka,negative
2394,E-ea mona haeba u batla li-salate tse ncha le tse monate tsa mofuta ofe kapa ofe oo u ka nahanang.,salate ea,positive
2397,Labohlano le fetileng bakeng sa lijo tsa mots'eare le motsoalle.,Lijo tsa motšehare,neutral
2399,"Ka mor'a ho qeta hora e le 'ngoe, mookameli oa rona o ile a re bolella hore o tla lebala ho re fa kichine ea rona.",Leta Leta,negative
2402,"Ka mor'a ho qeta hora e le 'ngoe, mookameli oa rona o ile a re bolella hore o tla lebala ho re fa kichine ea rona.",Letebele Letebele,negative
2404,"Ka mor'a ho qeta hora e le 'ngoe, mookameli oa rona o ile a re bolella hore o tla lebala ho re fa kichine ea rona.",Kichine ea kichineng,neutral
2406,Ke ile ka botsa khafetsa hore na lijo tsa mantsiboea ke eng 'me li ne li le monate haholo ke mojaki ea sa tsotelleng.,Lijo tsa lijo,neutral
2408,Ke ile ka botsa khafetsa hore na lijo tsa mantsiboea ke eng 'me li ne li le monate haholo ke mojaki ea sa tsotelleng.,Leta Leta,negative
2411,"Sebaka sena se na le lijo tse ntle ka ho fetisisa tsa Maindia, matsoho fatše.",Lijo tsa India,positive
2414,Ba lebeletseng ba na le botsoalle haholo 'me ba thusa' me haeba u hangata ba tla u hopola.,Leta Leta,positive
2417,Lijo li boetse li monate ebile li fanoa ka potlako.,Sebela,positive
2421,Lijo li boetse li monate ebile li fanoa ka potlako.,Lijo tsa lijo,positive
2425,'Na le molekane oa ka re bile teng bonyane makhetlo a 6' me re 'nile ra fuoa tšebeletso e phahameng ka ho fetisisa' me hangata li-dessert tsa mahala.,Tšebeletso ea tšebeletso,positive
