ig,aspect,polarities
"anyị mechara pụọ n'ihi na ndị ọrụ na-echere na-eleghara anyị anya - n'agbanyeghị na ụlọ oriri na ọṅụṅụ ndị ọzọ bụ n'ụzọ dị ukwuu efu, ma ebe dị mma, ọrụ bụ enyi na enyi na nhọrọ na-abụghị sushi dị mma.",ndị ọrụ na-echere,negative
"nri abalị ha pụrụ iche dị egwu, ma nkịta na-ekpo ọkụ kachasị njọ.",abalị,positive
"n'ihi na ihe dị ka iri na otu bucks ị na-a gigantic burrito (ma ọ bụ tacos), margarita, na dessert, ma mkpara bụ mpako na nri bụ n'okpuru nkezi.",tacos,positive
"n'ihi na ihe dị ka iri na otu bucks ị na-a gigantic burrito (ma ọ bụ tacos), margarita, na dessert, ma nri na-emechu ihu na oké osimiri dị ukwuu.",margarita,neutral
"n'ihi na ihe dị ka iri na otu bucks ị na-a gigantic burrito (ma ọ bụ tacos), margarita, na dessert, ma nri dị ukwuu na vegan nhọrọ bụ ọtụtụ.",dessert,neutral
"n'ihi na ihe dị ka iri na otu bucks ị na-a gigantic burrito (ma ọ bụ tacos), margarita, na dessert, ma azụ bụ nkezi na iri ahụmahụ bụ nhụsianya.",burrito,positive
"zuru okè maka nri ngwa ngwa, ma ofe chickpea ala dị mkpa.",nri,positive
"ọ dịghị ele anya dị ka ukwuu n'èzí, ma nkeji ị na-eje ije n'ime, ọ bụ a dum ọzọ ikuku; sushi ka ibu.",ikuku,positive
"ọ dịghị ele anya dị ka ukwuu n'èzí, ma nkeji ị na-eje ije n'ime, ọ bụ a dum ọzọ ikuku; sweet mmanụ aṅụ-mustard beef obere ọgịrịga dị ụtọ.",n'èzí,negative
"agara m common stock maka brunch ma enwere m mmasị dị ukwuu, ma uto dị mkpụmkpụ.",brunch,neutral
"enyi m nwere burger na m nwere ndị a magburu onwe blueberry pancakes, ma nri dị ukwuu, flavor jupụtara na idaha bụ oké.",burger,neutral
"enyi m nwere burger na m nwere ndị a magburu onwe blueberry pancakes, ma nri dị egwu.",blueberry pancakes,positive
"anyị nwere nnọọ obi ụtọ na nri anyị ma nwee obi ụtọ ọbụna karị mgbe anyị hụrụ ụgwọ ahụ, ma sushi buru ibu.",ụgwọ,positive
"anyị nwere nnọọ obi ụtọ na nri anyị ma nwee obi ụtọ ọbụna karị mgbe anyị hụrụ ụgwọ ahụ, ma efere na-eri nri.",nri,positive
"ha na-eweta ụgbọ ibu ihendori ruo na tebụl gị ma nye gị nhọrọ 7 ma ọ bụ 8 nke sauces maka steak gị (agbalịrị m ha niile), mana akụkụ nri dị n'okpuru nkezi na ọrụ dị mma.",ihendori,neutral
"ha na-eweta ụgbọ ibu ihendori ruo na tebụl gị ma nye gị nhọrọ 7 ma ọ bụ 8 nke sauces maka steak gị (agbalịrị m ha all), ma ọgịrịga dị mma.",tebụl,neutral
"ha na-eweta ụgbọ ibu ihendori ruo na tebụl gị ma nye gị nhọrọ 7 ma ọ bụ 8 nke sauces maka steak gị (agbalịrị m ha niile), ma uto kachasị njọ.",sauces,positive
"ha na-eweta ụgbọ ibu ihendori ruo na tebụl gị ma nye gị nhọrọ 7 ma ọ bụ 8 nke sauces maka steak gị (agbalịrị m ha niile), ma nri ndị china kachasị mma, ebe dị ọcha na nri dị mma.",steak,neutral
"ọrụ ahụ dị n'ókè - ihe ọzọ ị ga-atụ anya n'aka ritz, ma onye ọbịa na-akparị mmadụ, hostess bụ mkparị na onye na-echere bụ mkparị.",ọrụ,positive
"dessert bụkwa ịnwụ maka, ma ọrụ adịghị mma na ọrụ dị nwayọọ.",dessert,positive
"àgwà nke anụ ahụ dị na par na ụlọ ahịa nri mpaghara gị, ma calamari bụ onye mmeri na oge obi ụtọ dị ọnụ ala.",àgwà,negative
"a maara ọrụ maka ịgbagọ azụ iji mee ka onye ọ bụla nwee obi ụtọ, ma onye na-ere mmanya na-akparị mmadụ, azụ bụ nkezi na ọrụ dị njọ.",ọrụ,positive
"efere denoted dị ka ""roy si classics"" (akara na menu na asterisks) na-agbalị-na-ezi ezi ntụziaka, dị ka macadamia-crusted mahi mahi, ma ọ bụ subtly ụtọ mmanụ aṅụ-mustard ehi obere ọgịrịga, ma sushi bụ ibu na efere bụ oriri.","classics""",positive
"efere denoted dị ka ""roy si classics"" (akara na menu na asterisks) na-agbalị-na-ezi ezi ntụziaka, dị ka macadamia-crusted mahi mahi, ma ọ bụ subtly ụtọ mmanụ aṅụ-mustard ehi obere ọgịrịga, ma ọkụ bụ unattractive, uba kuki bụ mkpesa na music bụ oke arọ.",macadamia-crusted,positive
"efere denoted dị ka ""roy si classics"" (akara na menu na asterisks) na-agbalị-na-ezi ezi ntụziaka, dị ka macadamia-crusted mahi mahi, ma ọ bụ subtly ụtọ mmanụ aṅụ-mustard ehi obere ọgịrịga, ma ọrụ bụ kasị njọ, ụgwọ bụ nnukwu na dinners bụ ike.",efere,positive
"efere denoted dị ka ""roy si classics"" (akara na menu na asterisks) na-agbalị-na-ezi ezi ntụziaka, dị ka macadamia-crusted mahi mahi, ma ọ bụ subtly ụtọ mmanụ aṅụ-mustard ehi obere ọgịrịga, ma sushi bụ ibu, ọrụ dị njọ na ọrụ bụ kasị njọ.",aṅụ-mustard,positive
"efere denoted dị ka ""roy si classics"" (akara na menu na asterisks) na-agbalị-na-ezi ezi ntụziaka, dị ka macadamia-crusted mahi mahi, ma ọ bụ subtly ụtọ mmanụ aṅụ-mustard ehi obere ọgịrịga, ma ambiance bụ ihunanya, yabasị yiri mgbaaka kasị mma na akwụkwọ nri bụ pụrụ iche.",menu,neutral
"efere denoted dị ka ""roy si classics"" (akara na menu na asterisks) na-agbalị-na-ezi ezi ntụziaka, dị ka macadamia-crusted mahi mahi, ma ọ bụ subtly ụtọ mmanụ aṅụ-mustard ehi obere ọgịrịga, ma ala chickpea ofe bụ mkpa na ọrụ bụ kasị njọ.",ntụziaka,positive
"dessert kachasị mma, chocolate na ahịhịa ahịhịa tart, abụghị karịsịa hawaiian, mana ọ bụ obere ụwa ma a bịa n'ihe ụtọ; m na-agbalị nwa atụrụ chops na ọhụrụ ihe ọṅụṅụ concoctions bụ ọhụrụ.",dessert,neutral
"dessert kachasị mma, chocolate na ahịhịa ahịhịa tart, abụghị karịsịa hawaiian, mana ọ bụ obere ụwa ma a bịa n'ihe ụtọ; oche ịkpakọba adịghị mma ma ọrụ dị egwu.",dessert,positive
"dessert kachasị mma, chocolate na ahịhịa ahịhịa tart, abụghị karịsịa hawaiian, mana ọ bụ obere ụwa ma a bịa n'ihe ụtọ; nri dị egwu.",chocolate,positive
"the nri abalị menu awade a dịgasị iche iche nke oké entrees, gụnyere ọhụrụ oké osimiri na nnukwu steaks, e nwekwara di na nwunye nke na-abụghị anụ ọzọ, ma nri ọ na-adịghị esi nri ọhụrụ.",steaks,positive
"nri abalị menu awade a dịgasị iche iche nke oké entrees, gụnyere ọhụrụ oké osimiri na nnukwu steaks, e nwekwara di na nwunye nke na-abụghị anụ ọzọ, ma fennel flavored italian soseji bụ arọ, ọkụkọ bụ a ịhụnanya na nwa atụrụ entrée dị mma.",na-abụghị,neutral
"nri abalị menu awade a dịgasị iche iche nke oké entrees, gụnyere ọhụrụ oké osimiri na nnukwu steaks, e nwekwara di na nwunye nke na-abụghị anụ ọzọ, ma ịkpakọba oche bụ uncomfortable.",osimiri,positive
"menu nri abalị na-enye ọtụtụ nnukwu entrees, gụnyere nri mmiri ọhụrụ na nnukwu steaks, e nwekwara di na nwunye nke ụzọ ọzọ na-abụghị anụ, ma ndị ọrụ dị njọ, ọnụahịa abaghị uru na onye ọbịa na-akparị mmadụ.",entrees,positive
"the nri abalị menu awade a dịgasị iche iche nke oké entrees, gụnyere ọhụrụ oké osimiri na nnukwu steaks, e nwekwara di na nwunye nke na-abụghị anụ ọzọ, ma nri na-emechu ihu.",nri abalị menu,positive
"ihe niile bụ scrumptious, si magburu onwe ọrụ site cute waitresses, ka oké lush ikuku, ma dinners bụ a ike, ohere bụ tọrọ ụtọ na mmanya ọrụ bụ ngwa ngwa.",ọrụ,positive
"ihe niile bụ scrumptious, site na ọrụ magburu onwe ya site n'aka ndị na-eche nche mara mma, ruo n'ọnọdụ dị oke lush, ma hostess bụ mkparị.",ndị na-eche nche,positive
"ihe niile bụ scrumptious, si magburu onwe ọrụ site cute waitresses, ka oké lush ikuku, ma ụlọ bụ doro anya.",ikuku,positive
"ha n'ezie na-enye a na-atụrụ ndụ, tọrọ-azụ ikuku, ma na-eche mkpara bụ inconsiderate na ọrụ bụ ngwa ngwa.",ikuku,positive
"m bịara ọhụrụ na-atụ anya a oké nri, na ihe niile m nwetara bụ marginally otú-otú nri jere ozi na a ụlọ oriri na ọṅụṅụ na bụ nnọọ otú oyi anyị na-apụghị ịnụ ụtọ iri, ma ebe bụ na-akpachi anya.",na-atụ,neutral
"m bịara ọhụrụ na-atụ anya a oké nri, na ihe niile m nwetara bụ marginally otú-otú nri jere ozi na a ụlọ oriri na ọṅụṅụ na bụ nnọọ otú oyi anyị na-apụghị ịnụ ụtọ iri, ma ebe bụ ọmarịcha na japanese nri bụ ezigbo.",nri,negative
"m bịara ọhụrụ na-atụ anya a oké nri, na ihe niile m nwetara bụ marginally otú-otú nri jere ozi na a ụlọ oriri na ọṅụṅụ na bụ nnọọ otú oyi anyị na-apụghị ịnụ ụtọ iri, ma nri bụ ahụ ike.",nri,negative
"o doro anya na onye na-arụ ọrụ anyị anwalebeghị nri ọ bụla, ọ dịghịkwa onye ga-akwado mmanya ọ bụla, ma nkịta na-ekpo ọkụ dị ukwuu ma ọrụ na-enwe obi ụtọ.",nri,neutral
"o doro anya na onye na - arụ ọrụ anyị anwalebeghị nri ọ bụla, ọ dịghịkwa onye ga - akwado mmanya ọ bụla, ma o juru nri a na - esi esi nri anya.",mmanya,neutral
"o doro anya na onye na-arụ ọrụ anyị anwalebeghị nri ọ bụla, ọ dịghịkwa onye ga-akwado mmanya ọ bụla, ma sandwiches nri ụtụtụ magburu onwe ya na nri dị ukwuu.",nri,negative
"the halibut cheek appetizer bịara na a na-emesapụ aka òkè nke foie gras, ma nke ahụ bụ banyere nanị ihe dị mma m nwere ike ikwu banyere nri; ọrụ bụ enyi na enyi na hostess bụ amara.",halibut cheek appetizer,neutral
"the halibut cheek appetizer bịara na a na-emesapụ aka òkè nke foie gras, ma nke ahụ bụ banyere nanị ihe dị mma m nwere ike ikwu banyere nri; folding oche bụ erughị ala, uba kuki bụ a mkpesa na green oyi na-adịghị eri.",foie,positive
"ihe ọdịnala ịtali dị ukwuu - dị ọnụ ala ma jee ozi n'ọnọdụ dị mma, ma onye njikwa bụ onye na-enweghị amara, efere na-eri nri na nnyefe na-atụ egwu.",na-atụ,positive
"ihe ọdịnala ịtali dị ukwuu - dị ọnụ ala ma jee ozi n'ọnọdụ dị mma, ma ọrụ dị egwu.",ịtali,positive
"ihe ọdịnala ịtali dị ukwuu - dị ọnụ ala ma jee ozi n'ọnọdụ dị mma, ma casseroles curried siri ike.",ọdịnala,positive
"n'ụzọ zuru oke al dente pasta, ọ bụghị mmiri mmiri na ihendori - akụkụ ndị na-emesapụ aka, mana ọrụ adịghị mma, ọrụ dị nnọọ ngwa ngwa na ọrụ jọgburu onwe ya.",akụkụ,positive
"n'ụzọ zuru oke al dente pasta, ọ bụghị mmiri mmiri na ihendori - akụkụ na-emesapụ aka, mana ọrụ kachasị njọ.",pasta,positive
"n'ụzọ zuru oke al dente pasta, ọ bụghị mmiri mmiri na ihendori - akụkụ na-emesapụ aka, mana sushi dị ọhụrụ.",ihendori,neutral
"anyị nwere obi ụtọ na anyị nke ọma ma ga-alaghachi maka desserts, ma nri ekwekọghị.",desserts,positive
"my chelsea si nnukwu na okike menu na-agụnye oge a, westernized japanese efere dị ka foie gras unagi napolean, jap style hamburger steak, spicy cod roe spaghetti, oji cod na miso isi, na ogbe nke nwa atụrụ na oji truffle ihendori, aha ole na ole, ma nri abalị dị mma na ọrụ bụ a n'elu.","spaghetti,",neutral
"my chelsea si nnukwu na okike menu na-agụnye oge a, westernized japanese efere dị ka foie gras unagi napolean, jap style hamburger steak, spicy cod roe spaghetti, oji cod na miso isi, na ogbe nke nwa atụrụ na oji truffle ihendori, aha ole na ole, ma ọrụ dị ukwuu.",foie gras unagi napolean,neutral
"my chelsea si nnukwu na okike menu na-agụnye oge a, westernized japanese efere dị ka foie gras unagi napolean, jap style hamburger steak, spicy cod roe spaghetti, nwa cod na miso isi, na ogbe nke nwa atụrụ na oji truffle ihendori, aha ole na ole, ma ọrụ bụ enyi na enyi, salads dị mma na idaha dị ukwuu.",miso,neutral
"my chelsea si nnukwu na okike menu na-agụnye oge a, westernized japanese efere dị ka foie gras unagi napolean, jap style hamburger steak, spicy cod roe spaghetti, oji cod na miso isi, na ogbe nke nwa atụrụ na oji truffle ihendori, aha ole na ole, ma hostess bụ mkparị na njikwa bụ a amara.",menu,positive
"my chelsea si nnukwu na okike menu na-agụnye oge a, westernized japanese efere dị ka foie gras unagi napolean, jap style hamburger steak, spicy cod roe spaghetti, oji cod na miso isi, na ogbe nke nwa atụrụ na oji truffle ihendori, ịkpọ aha ole na ole, ma ahịa bụ ezi uche.",truffle,neutral
"my chelsea si nnukwu na okike menu na-agụnye oge a, westernized japanese efere dị ka foie gras unagi napolean, jap style hamburger steak, spicy cod roe spaghetti, oji cod na miso isi, na ogbe nke nwa atụrụ na oji truffle ihendori, ịkpọ aha ole na ole, ma appetizers adịghị oké ọnụ na nri bụ ọnụ.",japanese efere,neutral
"my chelsea si nnukwu na okike menu na-agụnye oge a, westernized japanese efere dị ka foie gras unagi napolean, jap style hamburger steak, spicy cod roe spaghetti, nwa cod na miso isi, na ogbe nke nwa atụrụ na oji truffle ihendori, aha ole na ole, ma nri abalị bụ ọmarịcha na oyi sesame noodles bụ delectable.",jap style hamburger steak,neutral
"desserts fọrọ nke nta ka ọ bụrụ ihe na-enweghị atụ: ọkacha mmasị m bụ tart nke ụbọchị ha, ma uto kachasị njọ.",desserts,positive
"desserts fọrọ nke nta ka ọ bụrụ ihe na-enweghị atụ: ọkacha mmasị m bụ tart nke ụbọchị ha, ma onye na-echere bụ mkparị na oyi akwụkwọ ndụ akwụkwọ ndụ abụghị ihe oriri.",tart nke ụbọchị,positive
"ọrụ dị mma, nri dị ukwuu, uru dị mma, ọ dịghịkwa mgbe ọ ga-echere n'ahịrị, ma tebụl adịghị mma nso.",ọrụ,positive
"ọrụ dị mma, nnukwu nri, uru dị mma, ọ dịghịkwa mgbe ọ ga-echere n'ahịrị, ma mole sauce dị oke ụtọ.",chere,positive
"ọrụ dị mma, nnukwu nri, uru dị mma, ọ dịghịkwa mgbe ọ ga-echere n'ahịrị, ma anụ lobster artificial bụ ihe e kere eke, ọrụ dị njọ na ndị na-ere ahịa na-akparị mmadụ.",uru,positive
"ọrụ dị mma, nri dị ukwuu, uru dị mma, ọ dịghịkwa mgbe ọ ga-echere n'ahịrị, mana ọrụ dị nwayọ, onye na-echere na-ewe iwe na akụkụ dị ntakịrị.",nri,positive
"ọ bara uru iburu ụgbọ ala gaa chelsea naanị maka nri abalị dị egwu na my chelsea, ma ac bụ enweghị, uto kachasị njọ na nri dị oke ọnụ.",nri abalị,positive
"enwetara m ohere iri nri na ntọala gị ọzọ izu ole na ole gara aga, anọ m na ebe iri nri gị, ma oche dị mma, ndị ọrụ bụ enyi na enyi na m na-agbalị pasta.",nri,neutral
"akụkụ nke nri ndị pụtara bụ mediocre, ma nri bụ ebe na-ekpo ọkụ na waitstaff dị ukwuu.",akụkụ nke nri,neutral
"olee otú nwere ike na-atụ anya na-anọ na azụmahịa na ọrụ dị ka nke a, ma naan bụ oké na ikuku bụ jụụ.",ọrụ,negative
"best spicy tuna mpịakọta, oké asian salad, ma price bụghị uru na ọrụ dị egwu.",asian salad,positive
"best spicy tuna mpịakọta, oké asian salad, ma waiter bụ a mkparị na njikwa bụ a rudeness.",spicy tuna mpịakọta,positive
"gbalịa rose mpịakọta (ọ bụghị na menu), ma filet obere adịghị nnọọ mma na nri na-emechu ihu.",rose mpịakọta,positive
"gbalịa mpịakọta rose (ọ bụghị na menu), ma ikuku zuru oke.",menu,neutral
"mee tebụl ndị ọzọ - ikekwe ụlọ mmanya dị n'elu ụlọ, ma salads dị ụtọ, ọnụahịa adịghị egwu na ihe ọṅụṅụ dị ukwuu.",n'elu,neutral
"mee ka tebụl ndị ọzọ - ikekwe ụlọ mmanya dị n'elu ụlọ, ma nku dị mma ma bara uru dị ukwuu.",tebụl,negative
"guacamole a rụrụ n'ụlọ, onye a na-apụghị ikweta ekweta, na gị ọzara kachasị ịtụnanya, ma ndị ọrụ dị mpako.",ọzara,positive
"guacamole a rụrụ n'ụlọ, nke a na-apụghị ikweta ekweta, na gị ọzara kachasị ịtụnanya, ma ndị ọrụ dị njọ, ọrụ dị egwu ma na-echere bụ mkparị.",nke,positive
"guacamole a rụrụ n'ụlọ, entrée a na-apụghị ikweta ekweta, na gị ọzara kachasị ịtụnanya, ma ọrụ dị egwu ngwa ngwa, ohere dị ụtọ na ndị ahịa na-ada ụda.",guacamole,positive
"ọ bụrụ na ị bụ onye na-akwado tequila ị gaghị enwe nkụda mmụọ, ma ọnụ ahịa dị elu, curried casseroles siri ike na nha na-arụsi ọrụ ike.",tequila,positive
"weta ụbọchị gị na karama mmanya, ma nri ọ na-adịghị esi nri ọhụrụ na ọnụahịa dị ukwuu.",karama mmanya,neutral
"tebụl dị nso, n'ihi ya, ọ ka mma ka ị nwee ahụ iru ala bumping elbows na ndị nkwado ndị ọzọ, ma crust zuru oke, empenadas magburu onwe ya na ọrụ na-ele ọbịa.",tebụl,negative
"nri ahụ bụ ihe okike dị ka ihe ndozi ahụ ma ha abụọ na-arụ ọrụ, ma ọrụ dị nnọọ ngwa ngwa na ọrụ na-adịghị ngwa ngwa.",ihe ndozi,positive
"nri ahụ bụ ihe okike dị ka ihe ndozi ma ha abụọ na-arụ ọrụ, ma onye nwe ya bụ adịgboroja.",nri,positive
"nanị aro bụ na ị na-ahapụ dessert, ọ bụ overpriced na dara mkpụmkpụ na uto, ma nri dị ukwuu.",dessert,negative
"ọ bụ naanị aro bụ na ị na-ahapụ dessert, ọ bụ overpriced na dara mkpụmkpụ na uto, ma ọnụahịa dị umeala n'obi, nri dị ọnụ ala na tuna dị mma.",uto,negative
"sandwiches, burgers na salads, dị ka cobb na-eji ejiji lemon, bụ ihe ịga nke ọma kpochapụwo, ma akụkụ nri dị n'okpuru nkezi.",sandwiches,positive
"sandwiches, burgers na salads, dị ka cobb na-eji ejiji lemon, bụ ihe ịga nke ọma kpochapụwo, ma fennel flavored italian soseji dị arọ na waiters na-ewe iwe.",burgers,positive
"sandwiches, burgers na salads, dị ka cobb na-eji ejiji lemon, bụ ihe ịga nke ọma kpochapụwo, ma onye na-echere ya na-akparị mmadụ.",salads,positive
"sandwiches, burgers na salads, dị ka cobb na-eji ejiji lemon, bụ ihe ịga nke ọma kpochapụwo, ma ọnọdụ dị mma.",cobb,positive
"hip boutiques na ogwe na ludlow tinye na artsy, tọrọ-azụ ikuku na nke a israel-style takeout na-eri-na burger nkwonkwo, ma fennel flavored italian soseji bụ arọ.",ikuku,positive
"young agbata obi trendies graze na counter n'ehihie, mgbe chic, art-ụlọ drinkers na arọ doses nke munchies ikpo na mbubreyo n'abalị, ma ọrụ na-arụsi ọrụ ike, bartender bụ obi ụtọ na ọrụ dị mma.",counter,neutral
"a obere, n'èzí eri ebe na-eme ka a onwe, ala ohere na-amụ naanị ma ọ bụ izute elu na ndị enyi, ma ịkpakọba oche bụ erughị ala, ọrụ bụ ngwa ngwa na ọrụ na-emechu ihu.",ohere,positive
"obere ebe a na-eri nri n'èzí na-eme ka ohere nkeonwe, nke dị mma iji mụọ naanị ma ọ bụ zute ndị enyi, ma ndị ọrụ na-echere enweghị isi.",ebe a na-eri nri n'èzí,positive
"mmesapụ aka chọọ mma, organic grilled burgers bụ ndị kasị ewu ewu efere, ma jerusalem ahịa-style falafel wraps na mediterranean salads - layered na beets, ewu cheese na walnuts - bụ dokwara scrumptious; service bụ ngwa ngwa.",jerusalem ahịa-style falafel wraps,positive
"mmesapụ aka chọọ mma, organic grilled burgers bụ ndị kasị ewu ewu efere, ma jerusalem ahịa-style falafel wraps na mediterranean salads - layered na beets, ewu cheese na walnuts - bụ dokwara scrumptious; nri adịghị ọnụ ala ma ọrụ mmanya na-adịghị ngwa ngwa.",efere,positive
"mmesapụ aka chọọ mma, organic grilled burgers bụ ndị kasị ewu ewu efere, ma jerusalem ahịa-style falafel wraps na mediterranean salads - layered na beets, ewu cheese na walnuts - bụ dokwara scrumptious; n'ihi ya, ihe kachasị njọ bụ na ọ bụghị ihe na-atọ ụtọ nke ukwuu, akụkụ ya dịkwa ntakịrị.",organic grilled burgers,positive
"mmesapụ aka chọọ mma, organic grilled burgers bụ ndị kasị ewu ewu efere, ma jerusalem ahịa-style falafel wraps na mediterranean salads - layered na beets, ewu cheese na walnuts - bụ dokwara scrumptious; ndị ọbịa na-akparị mmadụ na iberibe dị oke ọnụ.",salads,positive
"anụ-phobes bụ na chioma na pụrụ iche veggie burger, mere si a pụrụ iche ngwakọta nke chickpeas, carrots na ndị ọzọ na akwụkwọ nri na ngwa nri, ma curried casseroles bụ ike, ọṅụṅụ bụ egwu na efere bụ oriri.",carrots,positive
"anụ-phobes bụ na chioma na pụrụ iche veggie burger, mere si a pụrụ iche ngwakọta nke chickpeas, carrots na ndị ọzọ na akwụkwọ nri na ngwa nri, ma ọrụ bụ ngwa ngwa, filet obere bụghị nnọọ mma na ọrụ dị egwu.",chickpeas,positive
"anụ-phobes bụ na chioma na pụrụ iche veggie burger, mere si a pụrụ iche ngwakọta nke chickpeas, carrots na ndị ọzọ na akwụkwọ nri na ngwa nri, ma ọnọdụ bụ adaba na ọkụkọ bụ ọchịchịrị.",akwụkwọ nri,positive
"anụ-phobes bụ na chioma na pụrụ iche veggie burger, mere si a pụrụ iche ngwakọta nke chickpeas, carrots na ndị ọzọ na akwụkwọ nri na ngwa nri, ma njikwa bụ a amara.",nri,positive
"anụ-phobes bụ na chioma na pụrụ iche veggie burger, mere si a pụrụ iche ngwakọta nke chickpeas, carrots na ndị ọzọ na akwụkwọ nri na ngwa nri, ma ahịa bụ exorbitant na size bụ ọrụ n'aka.",veggie burger,positive
"nri ahụ dị oke ụtọ, nke e gosipụtara n'ụzọ okike na mmanya magburu onwe ya, ma akụkụ dị ntakịrị na ndị na-echere na-ewe iwe.",mmanya,positive
"nri ahụ dị oke ụtọ, nke e gosipụtara n'ụzọ okike na mmanya magburu onwe ya, ma ọrụ dị njọ na onye ọbịa na-akparị mmadụ.",nri,positive
"dug-acha anụnụ anụnụ mmanya ebe kwa, ma nri bụ egwu, ọrụ bụ ihe ọjọọ na klientele bụ oké-ọnụ.",acha anụnụ anụnụ mmanya ebe,positive
"na short the black atụrụ iche onwe ya si midtown ụlọ mmanya ìgwè ehi na a anya na bụ a mix nke egwuregwu-mmanya butch na ornate kitsch; ndị ọrụ bụ enyi na enyi, nri ehihie dị mma na cheese grilled dị ukwuu.",anya,negative
"""the menu na-agụnye ụlọ mmanya ụgbọ - burgers, steaks na ọzụzụ atụrụ pie - na ọbụna a portabella lasagna maka ndị ojii atụrụ a maara dị ka ""anaghị eri anụ, ma ọrụ dị ukwuu, nri dị ukwuu na bartender na-enye aka.",burgers,neutral
""" the menu na-agụnye ụlọ mmanya ụgbọ - burgers, steaks na ọzụzụ atụrụ pie - na ọbụna a portabella lasagna maka ndị ojii atụrụ a maara dị ka ""anaghị eri anụ, ma pasta primavera pụtara ìhè.",menu,neutral
""" the menu na-agụnye ụlọ mmanya ụgbọ - burgers, steaks na ọzụzụ atụrụ pie - na ọbụna a portabella lasagna maka ndị ojii atụrụ a maara dị ka ""anaghị eri anụ, ma ogologo mmanya zuru okè, salads bụ ụtọ na mọsel bụ ụtọ.",ụgbọ,neutral
""" the menu na-agụnye ụlọ mmanya ụgbọ - burgers, steaks na ọzụzụ atụrụ pie - na ọbụna a portabella lasagna maka ndị ojii atụrụ a maara dị ka ""anaghị eri anụ, ma ekwentị gas bụ luscious na efrata bụ ọhụrụ.",atụrụ,neutral
""" the menu na-agụnye ụlọ mmanya ụgbọ - burgers, steaks na ọzụzụ atụrụ pie - na ọbụna a portabella lasagna maka ndị ojii atụrụ a maara dị ka ""anaghị eri anụ, ma m na-amasị adụ shei crab sandwich na fries.",steaks,neutral
"""the menu na-agụnye ụlọ mmanya ụgbọ - burgers, steaks na ọzụzụ atụrụ pie - na ọbụna a portabella lasagna maka ndị ojii atụrụ mara dị ka ""anaghị eri anụ, ma veggie burger bụ pụrụ iche na desserts bụ ịrịba.",portabella lasagna,neutral
"na sava [nwanyị] niile mara mma kwa, nke dị mma mgbe niile, ma ichere bụ mkparị, ọrụ dị egwu na onye na-ere mmanya na-akparị mmadụ.",[nwanyị],positive
"akụkụ ndị ahụ buru ibu nke ukwuu na ọrụ ahụ dị egwu, ma nri dị oke ọnụ.",akụkụ,positive
"akụkụ ndị ahụ buru nnọọ ibu na ọrụ ahụ dị egwu, ma azụ bụ nkezi na disko pop duo dị egwu.",ọrụ,positive
"ana m akwado ọkụkọ milanese, ma uto dị mkpụmkpụ.",ọkụkọ milanese,positive
"na onye nwe ya bụ nanị ọmarịcha na enyi, ma hostess bụ mkparị.",nwe,positive
"teas dị oke mma na ihe ụtọ niile a na-eme n'ụlọ, ma nri adịghị ọnụ ala, ndị na-echere dị njọ ma ọrụ na-emechu ihu.",ụtọ,positive
"teas dị ukwuu na ihe ụtọ niile a rụrụ n'ụlọ, ma nri na-ekwekọghị ekwekọ, ọkụ na-adọrọ adọrọ na azụ bụ nkezi.",teas,positive
intimate ma maa mma ime na oké enyi na enyi na ntị ọrụ; ọnụ ahịa dị elu.,ọrụ,positive
intimate ma maa mma ime na oké enyi na enyi na ntị ọrụ; tebụl adịghị mma nso.,ime,positive
"the nri bụ ihe niile gburugburu mma, na mpịakọta na-emekarị magburu onwe na sushi / sashimi bụghị nnọọ na otu larịị, ma obi ụtọ hour bụ ọnụ ala, akụkụ dị ukwuu na ọrụ bụ obi ụtọ.",sushi,neutral
"the nri bụ ihe niile-gburugburu mma, na mpịakọta na-emekarị magburu onwe na sushi / sashimi bụghị nnọọ na otu larịị, ma uba kuki bụ mkpesa.",mpịakọta,positive
"the nri bụ ihe niile gburugburu mma, na mpịakọta na-emekarị magburu onwe na sushi / sashimi bụghị nnọọ na otu larịị, ma sushi bụ ibu.",nri,positive
"(the sashimi na-ebipụ a obere thinly, ma ọrụ bụ enyi na enyi, malted mmiri ara ehi bọl akọ bụ magburu onwe na nri bụ magburu onwe.",sashimi,negative
") ọ bụghị ụlọ oriri na ọṅụṅụ japan kachasị mma na east village, mana ọ bụ ihe siri ike mara mma maka ọnụahịa ya dị ala, ma baa uru nleta ugboro ugboro; smoothies bụ nnukwu, mkpara bụ enyi na enyi na ọrụ bụ nnọọ ngwa ngwa.",ọnụahịa,positive
"ọ bụghị n'ihi na m dị ime, ma nri ebe a na-atọ ụtọ mgbe niile; menu bụ obere.",nri,positive
"ịbụ puerto rican m maara otu ihe ma ọ bụ abụọ banyere flan na ebe a na-eje ozi otu n'ime ndị kasị mma (enwere m olileanya na mama anaghị agụ nke a!), ma nri dị egwu na ndị na-echere na-ewe iwe.",flan,positive
"ogwe a nwere ya niile - nnukwu ihe ọṅụṅụ, ikuku dị jụụ, ọrụ magburu onwe ya na nri na-atọ ụtọ, ma ọkụ na-adọrọ adọrọ, onye njikwa bụ onye na-enweghị amara na ọrụ adịghị mma.",ihe ọṅụṅụ,positive
