yo,aspect,polarities
"ibí yìí kò dára tó, kò dára, iṣẹ́ wọ́ọ́rọ́ ṣùgbọ́n wọ́n wúlò fún àlejò, ṣùgbọ́n oúnjẹ náà kò tayọ.",iṣẹ,positive
"ibí yìí ò dára tó, kì í ṣe chic, iṣẹ́ wọ́n dára ṣùgbọ́n kò ṣe é gba àlejò sí, ṣùgbọ́n oúnjẹ wọn dá yàtọ̀.",oúnjẹ,positive
"kì í ṣe àtòjọ-ẹ̀yàn ìyanu, àyíká tí kò dára, iṣẹ́ ńlá oúnjẹ máa ń jẹ́ kí n padà wá!",iṣẹ,positive
"àtòjọ-ẹ̀yàn ìyanu, àyíká tí kò dára, kì í ṣe iṣẹ́ ńlá tí oúnjẹ náà ń jẹ́ kí n padà wá!",oúnjẹ,positive
"kì í ṣe àtòjọ-àṣàyàn ìyanu, àyíká tí ó lọ́ wọ́ọ́rọ́, kì í ṣe iṣẹ́ tó dára tí oúnjẹ náà ń jẹ́ kí n padà wá!",tí,positive
"ti o ga julọ ti a ṣe iṣeduro ... gẹ́gẹ́ bí a ṣe sọ, mi ò tí ì jẹun * nínú * ilé oúnjẹ ṣùgbọ́n mo dúró síbẹ̀ láti gbé oúnjẹ ṣùgbọ́n ó dàbí ibi ìsinmi gidi; bákan náà, ilé ọtí náà burú.",ibi,positive
"ti o ga julọ ti a ṣe iṣeduro ... gẹ́gẹ́ bí a ṣe sọ, mi ò tí ì jẹun * nínú * ilé-oúnjẹ ṣùgbọ́n mo dúró síbẹ̀ láti gbé oúnjẹ ṣùgbọ́n ó dàbí ibi àjèjì; bákan náà, ilé-ọtí náà dára.",bákan,positive
"kì í ṣe òtítọ́ oúnjẹ nìkan, ṣùgbọ́n àwọn òṣìṣẹ́ níbí kò sí nínú ọkọ̀ ojú omi, wọ́n kéré ṣùgbọ́n ìbàdí àti àgbàlagbà ohun tí wọ́n ń ṣe nígbà tí ó bá dọ̀rọ̀ oúnjẹ àti ọtí wáìnì.",oúnjẹ,positive
"kì í ṣe oúnjẹ náà kì í ṣe òtítọ́ nìkan, ṣùgbọ́n àwọn òṣìṣẹ́ níbí fẹ́rẹ̀ẹ́ jẹ́ pé wọn kò sí nínú ọkọ̀ ojú omi, wọ́n kéré ṣùgbọ́n wọ́n ní ìbàdí wọ́n sì mọ ohun tí wọ́n ń ṣe nígbà tí ó bá di oúnjẹ burúkú àti ọtí wáìnì.",òṣìṣẹ́,positive
"kì í ṣe òtítọ́ oúnjẹ nìkan, ṣùgbọ́n àwọn òṣìṣẹ́ níbí kò sí nínú ọkọ̀ ojú omi, wọ́n kéré ṣùgbọ́n ìbàdí àti àgbàlagbà ohun tí kì í ṣe ìbàdí ń ṣe nígbà tí ó bá dọ̀rọ̀ oúnjẹ àti ọtí wáìnì.",oúnjẹ,positive
bí ó tilẹ̀ jẹ́ pé mo kó lọ sí ìlú mo gbìyànjú láti dúró ní gbogbo ìgbà fún oúnjẹ tí kò wọ́n tó ṣùgbọ́n láti san àbẹ̀wò sí àwọn òṣìṣẹ́ ọlọ́yàyà.,òṣìṣẹ́,positive
bí ó tilẹ̀ jẹ́ pé mo kó lọ sí ìlú mo gbìyànjú láti dúró ní gbogbo ìgbà fún oúnjẹ olówó pọ́ọ́kú ńlá àti láti ṣe àbẹ̀wò sí àwọn òṣìṣẹ́ ọ̀tá.,oúnjẹ,positive
báwo ni wọ́n ṣe lè yè nínú pípèsè oúnjẹ tí kò dára ní iye owó tó pọ̀ gan-an?!,oúnjẹ,neutral
báwo ni wọ́n ṣe lè yè nínú pípèsè oúnjẹ tó mọ́gbọ́n dání pẹ̀lú iye owó tí ó pọ̀jù?!,owó,negative
"àwọn oúnjẹ náà burú gan-an, kódà bí ó bá wà ní ibi ìrọ̀rùn àti ìkọ̀kọ̀!",ibi,positive
àwọn oúnjẹ náà dùn gan-an ṣùgbọ́n kì í ṣe ibi tí ó rọrùn tàbí tí ó ní ìkọ̀kọ̀!,oúnjẹ,positive
"ìbọ̀wọ̀ fún india hàn jùlọ nínú roti canai appetizer tí a lè yàn, pankéèkì dídì tí wọ́n ń pèsè pẹ̀lú ọbẹ̀ curry dipping pungent, nígbà tí adìẹ mango náà kò pèsè ìyàlẹ́nu tí ó le, tí ó ṣẹ̀ṣẹ̀",roti canai appetizer,positive
"ìbọ̀wọ̀ fún india kò sí ibi tí a lè rí nínú roti canai appetizer burúkú, bí ó tilẹ̀ jẹ́ pé ó hàn gbangba nínú pankéèkì dídì tí wọ́n ń pèsè pẹ̀lú ọbẹ̀ curry dipping pungent, àti pé adìẹ mango náà ń pèsè ìyàlẹ́nu tí ó le, tí ó ṣẹ̀ṣẹ̀ gba dídùn ṣùgbọ́n-sour.",mango,positive
"awọn ayanfẹ gbogbo akoko ni big mac, adie mcnuggets, sandwich filet-o-fish ati mcdonald's olokiki french fries; àwọn àṣàyàn tó fúyẹ́ bíi sàláàdì ìwọ̀n entrée náà wà.",adie mcnuggets,positive
"awọn ayanfẹ gbogbo akoko ni big mac, adie mcnuggets, sandwich filet-o-fish ati mcdonald's olokiki french fries; àwọn àṣàyàn tó fúyẹ́ bíi sàláàdì ìwọ̀n entrée náà wà.",filet-o-fish,positive
"gbogbo akoko awọn ayanfẹ pupọ ni big mac, adie mcnuggets, sandwich filet-o-fish ati mcdonald's olokiki french fries; àwọn àṣàyàn tó fúyẹ́ bíi sàláàdì ìwọ̀n entrée náà wà.",sandwich,neutral
"awọn ayanfẹ gbogbo akoko ni big mac, adie mcnuggets, sandwich filet-o-fish ati mcdonald's olokiki french fries; àwọn àṣàyàn tó fúyẹ́ tó dára bíi sàláàdì ìwọ̀n entrée náà wà.",mcdonald's,positive
"awọn ayanfẹ gbogbo akoko ni big mac, adie mcnuggets, sandwich filet-o-fish ati mcdonald's olokiki french fries; àwọn àṣàyàn tó fúyẹ́ bíi sàláàdì ìwọ̀n entrée náà wà.",big mac,positive
"àwọn òṣìṣẹ́ náà ní ìgbéraga, iye owó náà kéré fún brooklyn.",òṣìṣẹ́,negative
"àwọn òṣìṣẹ́ náà rẹ̀lẹ̀, ṣùgbọ́n iye owó náà ga fún brooklyn.",owó,negative
"oúnjẹ rẹ̀ kò dára (ṣùgbọ́n kò wọ́n nípa àwọn ìlànà nyc- kò sí oúnjẹ tó ju $30 lọ, ọ̀pọ̀lọpọ̀ àwọn oúnjẹ oúnjẹ $12 sí 14).",oúnjẹ,positive
"oúnjẹ rẹ̀ dára púpọ̀ (ṣùgbọ́n ó dùn mọ́ àwọn ìlànà nyc- kò sí oúnjẹ tó ju $30 lọ, ọ̀pọ̀lọpọ̀ àwọn oúnjẹ oúnjẹ $12 sí 14).",oúnjẹ,positive
"yàrá náà rẹwà, ààyè ìpele méjì ṣùgbọ́n ilé-ọtí gígùn kò pé fún ohun mímu.",yàrá,positive
"yàrá náà rẹwà, ààyè ìpele méjì ṣùgbọ́n ilé ọtí gígùn kò pé fún ohun mímu.",méjì,positive
"yàrá náà kéré, ààyè ìpele méjì ṣùgbọ́n ilé ọtí gígùn náà dára fún ohun mímu.",yàrá,positive
gbogbo awọn apetizers jẹ buburu ṣugbọn sangria dara julọ.,sangria,positive
gbogbo awọn apetizers dara ṣugbọn sangria jẹ gidigidi buburu.,awọn apetizers,positive
"ó ní orin burúkú, tapas tó dára, àṣàyàn ọtí wáìnì tí ó dùn (ní pàtàkì èdè spanish) ṣùgbọ́n àwọn oníbàárà àdúgbò tí kò ní ìdíwọ́.",tapas,positive
"ó ní orin burúkú, tapas burúkú, àṣàyàn ọtí wáìnì tí ó dùn (ní pàtàkì jùlọ èdè spanish) ṣùgbọ́n àwọn oníbàárà àdúgbò lowkey hip.",àṣàyàn,positive
"ó ní orin tó dára, tapas burúkú, àṣàyàn ọtí wáìnì tí ó dùn (ní pàtàkì jùlọ èdè spanish) ṣùgbọ́n kì í ṣe lowkey kì í ṣe àwọn oníbàárà àdúgbò ìbàdí.",orin,positive
"mo ti ń lọ sí ilé oúnjẹ yìí fún ọ̀pọ̀lọpọ̀ ọdún, sẹ́yìn iṣẹ́ ìsìn wọn kò pọ̀, oúnjẹ náà sì dára bí ó ti máa ń rí.",iṣẹ,neutral
"mo ti ń lọ sí ilé oúnjẹ yìí fún àìmọye ọdún, sẹ́yìn, àpapọ̀ ni iṣẹ́ ìsìn náà ṣùgbọ́n oúnjẹ náà kún fún",oúnjẹ,negative
"ìyàtọ̀ wo ni, iṣẹ́ náà tuni lára gan-an ṣùgbọ́n oúnjẹ náà kò dára ju àpapọ̀ lọ, ṣùgbọ́n ohun tí ó yàtọ̀ gan-an ni ọtí bíà tí ó lágbára ṣùgbọ́n tí kò ní àkọsílẹ̀.",iṣẹ,positive
"ìyàtọ̀ wo ni, iṣẹ́ náà kò tuni nínú ṣùgbọ́n oúnjẹ náà kò dára ju àpapọ̀ lọ, ṣùgbọ́n ohun tí ó yàtọ̀ gan-an ni àtòjọ ọtí bíà tí ó lágbára ṣùgbọ́n tí ó pọ̀.",bíà,positive
"ìyàtọ̀ wo ni, iṣẹ́ náà kò tuni nínú ṣùgbọ́n oúnjẹ náà dára ju àpapọ̀ lọ, ṣùgbọ́n ohun tí ó yàtọ̀ gan-an jẹ́ àtòjọ ọtí bíà tí ó lágbára ṣùgbọ́n tí ó lágbára.",oúnjẹ,positive
àwọn àtúnyẹ̀wò burúkú lórí ìwádìí ìlú ṣe é ṣe kí wọ́n wá láti àwọn ilé-oúnjẹ tí wọ́n ń jowú tí wọ́n mọ̀ pé wọn kò lè figagbága pẹ̀lú gbogbo ìwà rere tẹmpili nípa ọ̀nà tí ó tọ́ láti tọ́jú àwọn oníbàárà wọn ṣùgbọ́n wọn kò fi oúnjẹ tó dára jùlọ ránṣẹ́.,ìwà,positive
àwọn àtúnyẹ̀wò burúkú lórí ìwádìí ìlú ṣe é ṣe kí wọ́n wá láti àwọn ilé-oúnjẹ tí wọ́n ń jowú tí wọ́n mọ̀ pé wọn kò lè figagbága pẹ̀lú gbogbo ìwà burúkú tẹmpili nípa ọ̀nà tí ó tọ́ láti tọ́jú àwọn oníbàárà wọn ṣùgbọ́n wọ́n ń pèsè oúnjẹ tó dára jùlọ.,oúnjẹ,positive
